Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_line	cell_type	source_name	Consent	DATASTORE_provider	LibrarySource	Organism	drug	library_construction
RNA-Seq		60	PRJNA374038	SAMN06320337	GEO	sra	SRX2550995	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1653	621	ILLUMINA	2017-03-09	SRR5244286	SRS1968979	SRP099217	GSM2482836	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320337	GEO	sra	SRX2550995	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1713	634	ILLUMINA	2017-03-09	SRR5244287	SRS1968979	SRP099217	GSM2482836	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320335	GEO	sra	SRX2550997	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1191	446	ILLUMINA	2017-03-09	SRR5244290	SRS1968980	SRP099217	GSM2482838	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320335	GEO	sra	SRX2550997	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1222	452	ILLUMINA	2017-03-09	SRR5244291	SRS1968980	SRP099217	GSM2482838	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320336	GEO	sra	SRX2550996	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1196	447	ILLUMINA	2017-03-09	SRR5244288	SRS1968981	SRP099217	GSM2482837	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320336	GEO	sra	SRX2550996	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1230	454	ILLUMINA	2017-03-09	SRR5244289	SRS1968981	SRP099217	GSM2482837	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320334	GEO	sra	SRX2550998	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1544	577	ILLUMINA	2017-03-09	SRR5244292	SRS1968982	SRP099217	GSM2482839	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320334	GEO	sra	SRX2550998	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1572	578	ILLUMINA	2017-03-09	SRR5244293	SRS1968982	SRP099217	GSM2482839	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320332	GEO	sra	SRX2551000	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1145	427	ILLUMINA	2017-03-09	SRR5244296	SRS1968983	SRP099217	GSM2482841	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320332	GEO	sra	SRX2551000	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1178	434	ILLUMINA	2017-03-09	SRR5244297	SRS1968983	SRP099217	GSM2482841	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320333	GEO	sra	SRX2550999	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1212	455	ILLUMINA	2017-03-09	SRR5244294	SRS1968984	SRP099217	GSM2482840	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320333	GEO	sra	SRX2550999	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1249	462	ILLUMINA	2017-03-09	SRR5244295	SRS1968984	SRP099217	GSM2482840	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175181	GEO	sra	SRX2867069	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3739	2383	ILLUMINA	2017-10-11	SRR5626512	SRS2237475	SRP108222	GSM2643285	LNCaP-APIPC human prostate tumor cell line	prostate cancer	LNCaP-APIPC human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175188	GEO	sra	SRX2867070	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3710	2351	ILLUMINA	2017-10-11	SRR5626513	SRS2237476	SRP108222	GSM2643286	LNCaP-APIPC human prostate tumor cell line	prostate cancer	LNCaP-APIPC human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175187	GEO	sra	SRX2867071	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3761	2436	ILLUMINA	2017-10-11	SRR5626514	SRS2237477	SRP108222	GSM2643287	LNCaP-APIPC human prostate tumor cell line	prostate cancer	LNCaP-APIPC human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175186	GEO	sra	SRX2867072	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	4095	2612	ILLUMINA	2017-10-11	SRR5626515	SRS2237478	SRP108222	GSM2643288	LNCaP-APIPC human prostate tumor cell line	prostate cancer	LNCaP-APIPC human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	GCA_000001405.13	89	PRJNA238295	SAMN02641985	GEO	sra	SRX471199	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-21	7944	4457	ILLUMINA	2016-02-12	SRR1169709	SRS557952	SRP037969	GSM1328161	LNCaP cell		prostate cancer cell (LNCaP)	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	GCA_000001405.13	90	PRJNA238295	SAMN02641988	GEO	sra	SRX471200	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-21	8317	4737	ILLUMINA	2016-02-12	SRR1169710	SRS557953	SRP037969	GSM1328162	LNCaP cell		prostate cancer cell (LNCaP)	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946052	GEO	sra	SRX2271088	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	3653	1753	ILLUMINA	2017-01-06	SRR4454517	SRS1762191	SRP092159	GSM2361405	LNCaP/AR		shNT, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946051	GEO	sra	SRX2271089	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	3429	1641	ILLUMINA	2017-01-06	SRR4454518	SRS1762192	SRP092159	GSM2361406	LNCaP/AR		shNT, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946054	GEO	sra	SRX2271090	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	503	266	ILLUMINA	2017-01-06	SRR4454519	SRS1762193	SRP092159	GSM2361407	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946054	GEO	sra	SRX2271090	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	509	268	ILLUMINA	2017-01-06	SRR4454520	SRS1762193	SRP092159	GSM2361407	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946054	GEO	sra	SRX2271090	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	322	155	ILLUMINA	2017-01-06	SRR4454521	SRS1762193	SRP092159	GSM2361407	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946054	GEO	sra	SRX2271090	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	628	323	ILLUMINA	2017-01-06	SRR4454522	SRS1762193	SRP092159	GSM2361407	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946054	GEO	sra	SRX2271090	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	912	463	ILLUMINA	2017-01-06	SRR4454523	SRS1762193	SRP092159	GSM2361407	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946053	GEO	sra	SRX2271091	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	2064	1112	ILLUMINA	2017-01-06	SRR4454524	SRS1762194	SRP092159	GSM2361408	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946053	GEO	sra	SRX2271091	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	2058	1102	ILLUMINA	2017-01-06	SRR4454525	SRS1762194	SRP092159	GSM2361408	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946053	GEO	sra	SRX2271091	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	3917	1897	ILLUMINA	2017-01-06	SRR4454526	SRS1762194	SRP092159	GSM2361408	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA350780	SAMN05946053	GEO	sra	SRX2271091	0	Illumina HiSeq 2500	PAIRED	cDNA		2016-10-27	3089	1494	ILLUMINA	2017-01-06	SRR4454527	SRS1762194	SRP092159	GSM2361408	LNCaP/AR		shTP53:RB1, LNCaP/AR cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA358067	SAMN06164098	GEO	sra	SRX2435702	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-12-19	6066	3586	ILLUMINA	2016-12-22	SRR5120473	SRS1870694	SRP095351	GSM2432781	LNCap-C4-2		human prostate cancer LNCap-C4-2 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA358067	SAMN06164113	GEO	sra	SRX2435703	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-12-19	5408	3086	ILLUMINA	2016-12-22	SRR5120474	SRS1870695	SRP095351	GSM2432783	LNCap-C4-2		human prostate cancer LNCap-C4-2 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175185	GEO	sra	SRX2867073	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3768	2402	ILLUMINA	2017-10-11	SRR5626516	SRS2237479	SRP108222	GSM2643289	LNCaP-shAR/pATK human prostate tumor cell line	prostate cancer	LNCaP-shAR/pATK human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175184	GEO	sra	SRX2867074	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3988	2524	ILLUMINA	2017-10-11	SRR5626517	SRS2237480	SRP108222	GSM2643290	LNCaP-shAR/pATK human prostate tumor cell line	prostate cancer	LNCaP-shAR/pATK human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175183	GEO	sra	SRX2867075	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	3837	2416	ILLUMINA	2017-10-11	SRR5626518	SRS2237481	SRP108222	GSM2643291	LNCaP-shAR/pATK human prostate tumor cell line	prostate cancer	LNCaP-shAR/pATK human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA388341	SAMN07175182	GEO	sra	SRX2867076	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-05-29	4458	2874	ILLUMINA	2017-10-11	SRR5626519	SRS2237482	SRP108222	GSM2643292	LNCaP-shAR/pATK human prostate tumor cell line	prostate cancer	LNCaP-shAR/pATK human prostate tumor cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		142	PRJNA400161	SAMN07559486	GEO	sra	SRX3131039	0	NextSeq 500	PAIRED	cDNA		2017-08-24	832	369	ILLUMINA	2018-02-27	SRR5974462	SRS2469027	SRP116233	GSM2753415	LNCaP		LNCaP_parental	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674686	GEO	sra	SRX3200407	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	12949	7969	ILLUMINA	2018-01-08	SRR6053468	SRS2527405	SRP118294	GSM2788088	Prostate Cancer Cell line LNCaP		LNCaP treated with 2uM iBET for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674685	GEO	sra	SRX3200408	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	10192	5994	ILLUMINA	2018-01-08	SRR6053469	SRS2527406	SRP118294	GSM2788089	Prostate Cancer Cell line LNCaP		LNCaP treated with 2uM iBET for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674684	GEO	sra	SRX3200409	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	11148	6495	ILLUMINA	2018-01-08	SRR6053470	SRS2527407	SRP118294	GSM2788090	Prostate Cancer Cell line LNCaP		LNCaP treated with 0.5uM iBET for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674683	GEO	sra	SRX3200410	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	13110	7542	ILLUMINA	2018-01-08	SRR6053471	SRS2527408	SRP118294	GSM2788091	Prostate Cancer Cell line LNCaP		LNCaP treated with 0.5uM iBET for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674682	GEO	sra	SRX3200411	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	11424	6646	ILLUMINA	2018-01-08	SRR6053472	SRS2527409	SRP118294	GSM2788092	Prostate Cancer Cell line LNCaP		LNCaP treated with DMSO for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA408077	SAMN07674681	GEO	sra	SRX3200412	0	Illumina HiSeq 2500	PAIRED	cDNA		2017-09-20	11998	7181	ILLUMINA	2018-01-08	SRR6053473	SRS2527410	SRP118294	GSM2788093	Prostate Cancer Cell line LNCaP		LNCaP treated with DMSO for 8 hours	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA266510	SAMN03165745	GEO	sra	SRX752910	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	4640	3105	ILLUMINA	2016-01-14	SRR1642998	SRS738369	SRP049591	GSM1538432	LNCaP-abl		abl-siControl RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA266510	SAMN03165745	GEO	sra	SRX752910	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	1167	680	ILLUMINA	2016-01-14	SRR1642999	SRS738369	SRP049591	GSM1538432	LNCaP-abl		abl-siControl RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165746	GEO	sra	SRX752911	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3100	2003	ILLUMINA	2016-01-14	SRR1643000	SRS738370	SRP049591	GSM1538433	LNCaP-abl		abl-siCREB1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165746	GEO	sra	SRX752911	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3360	2195	ILLUMINA	2016-01-14	SRR1643001	SRS738370	SRP049591	GSM1538433	LNCaP-abl		abl-siCREB1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165739	GEO	sra	SRX752912	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3083	1952	ILLUMINA	2016-01-14	SRR1643002	SRS738371	SRP049591	GSM1538434	LNCaP-abl		abl-siFoxA1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165739	GEO	sra	SRX752912	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3227	2092	ILLUMINA	2016-01-14	SRR1643003	SRS738371	SRP049591	GSM1538434	LNCaP-abl		abl-siFoxA1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273462	GEO	sra	SRX824625	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	6788	4772	ILLUMINA	2015-12-07	SRR1735559	SRS804233	SRP051583	GSM1573659	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273460	GEO	sra	SRX824624	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	6465	4551	ILLUMINA	2015-12-07	SRR1735558	SRS804234	SRP051583	GSM1573658	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273463	GEO	sra	SRX824626	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	6836	4802	ILLUMINA	2015-12-07	SRR1735560	SRS804235	SRP051583	GSM1573660	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273461	GEO	sra	SRX824627	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	8586	5923	ILLUMINA	2015-12-07	SRR1735561	SRS804236	SRP051583	GSM1573661	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273464	GEO	sra	SRX824628	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	8007	5542	ILLUMINA	2015-12-07	SRR1735562	SRS804237	SRP051583	GSM1573662	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA271255	SAMN03273465	GEO	sra	SRX824629	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-12-29	8065	5585	ILLUMINA	2015-12-07	SRR1735563	SRS804238	SRP051583	GSM1573663	LNCaP prostate cancer cells		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		146	PRJNA400161	SAMN07559484	GEO	sra	SRX3131041	0	NextSeq 500	PAIRED	cDNA		2017-08-24	3143	1367	ILLUMINA	2018-02-27	SRR5974464	SRS2469029	SRP116233	GSM2753417	LNCaP		LNCaP BETi Resistant Pool 2	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		144	PRJNA400161	SAMN07559485	GEO	sra	SRX3131040	0	NextSeq 500	PAIRED	cDNA		2017-08-24	1730	761	ILLUMINA	2018-02-27	SRR5974463	SRS2469030	SRP116233	GSM2753416	LNCaP		LNCaP BETi Resistant Pool 1	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795820	GEO	sra	SRX3292371	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4488	2036	ILLUMINA	2018-02-01	SRR6182197	SRS2601535	SRP120165	GSM2817823	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795819	GEO	sra	SRX3292372	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4840	2189	ILLUMINA	2018-02-01	SRR6182198	SRS2601536	SRP120165	GSM2817824	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795818	GEO	sra	SRX3292373	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4218	1925	ILLUMINA	2018-02-01	SRR6182199	SRS2601537	SRP120165	GSM2817825	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795817	GEO	sra	SRX3292374	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4889	2222	ILLUMINA	2018-02-01	SRR6182200	SRS2601538	SRP120165	GSM2817826	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795816	GEO	sra	SRX3292375	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4757	2169	ILLUMINA	2018-02-01	SRR6182201	SRS2601539	SRP120165	GSM2817827	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		151	PRJNA414614	SAMN07795815	GEO	sra	SRX3292376	0	NextSeq 500	SINGLE	cDNA		2017-10-17	4959	2248	ILLUMINA	2018-02-01	SRR6182202	SRS2601540	SRP120165	GSM2817828	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795811	GEO	sra	SRX3292380	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2703	920	ILLUMINA	2018-02-01	SRR6182206	SRS2601544	SRP120165	GSM2817832	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795810	GEO	sra	SRX3292381	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2488	829	ILLUMINA	2018-02-01	SRR6182207	SRS2601545	SRP120165	GSM2817833	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795809	GEO	sra	SRX3292382	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2404	808	ILLUMINA	2018-02-01	SRR6182208	SRS2601546	SRP120165	GSM2817834	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795807	GEO	sra	SRX3292384	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2502	844	ILLUMINA	2018-02-01	SRR6182210	SRS2601547	SRP120165	GSM2817836	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795808	GEO	sra	SRX3292383	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2864	954	ILLUMINA	2018-02-01	SRR6182209	SRS2601548	SRP120165	GSM2817835	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		76	PRJNA414614	SAMN07795806	GEO	sra	SRX3292385	0	NextSeq 500	SINGLE	cDNA		2017-10-17	2420	815	ILLUMINA	2018-02-01	SRR6182211	SRS2601549	SRP120165	GSM2817837	LNCaP		LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
