Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_line	dev_stage	donor_ID	health_state	lab	sample_type	sex	DATASTORE_provider	LibrarySource	Organism
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465733	BI	GRU	sra	SRX412381	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-154167	2014-10-03	5458	2320	ILLUMINA	2014-01-05	SRR1083800	SRS524856	SRP012682	K-562-SM-4AD4F								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465065	BI	GRU	sra	SRX415125	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-155997	2014-10-03	8725	4017	ILLUMINA	2014-01-06	SRR1089158	SRS525130	SRP012682	K-562-SM-4B66B								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	152	PRJNA75899	SAMN02465186	BI	GRU	sra	SRX415454	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-150647	2014-10-04	4590	2040	ILLUMINA	2014-01-06	SRR1089877	SRS525183	SRP012682	K-562-SM-48FEU								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465832	BI	GRU	sra	SRX418418	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-155313	2014-10-03	4191	1878	ILLUMINA	2014-01-06	SRR1094580	SRS525972	SRP012682	K-562-SM-4AT3W								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02464973	BI	GRU	sra	SRX420187	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-151268	2014-10-03	4910	2179	ILLUMINA	2014-01-06	SRR1098636	SRS526148	SRP012682	K-562-SM-46MWI								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465509	BI	GRU	sra	SRX422333	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-151046	2014-10-03	5318	2208	ILLUMINA	2014-01-06	SRR1102538	SRS526694	SRP012682	K-562-SM-48TE3								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02464988	BI	GRU	sra	SRX436334	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-156698	2014-10-03	5874	2483	ILLUMINA	2014-01-16	SRR1122885	SRS536142	SRP012682	K-562-SM-4BONS								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02464778	BI	GRU	sra	SRX436345	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-172610	2014-10-03	5174	2197	ILLUMINA	2014-01-16	SRR1122913	SRS536143	SRP012682	K-562-SM-4LVKX								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465243	BI	GRU	sra	SRX436361	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-172384	2014-10-03	6229	2829	ILLUMINA	2014-01-16	SRR1122940	SRS536144	SRP012682	K-562-SM-4LMI2								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	148	PRJNA75899	SAMN02466132	BI	GRU	sra	SRX436905	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-164978	2014-10-05	8682	4222	ILLUMINA	2014-01-17	SRR1123775	SRS536447	SRP012682	K-562-SM-4GICD								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02464830	BI	GRU	sra	SRX447027	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-163865	2014-10-03	8047	3942	ILLUMINA	2014-01-23	SRR1140510	SRS541808	SRP012682	K-562-SM-4EDPU								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732090		public	sra	SRX534556	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C07	2014-05-08	11	7	ILLUMINA	2014-08-02	SRR1274351	SRS603273	SRP041736	chip_1g_C07	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732091		public	sra	SRX534557	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C08	2014-05-08	341	236	ILLUMINA	2014-08-02	SRR1274352	SRS603274	SRP041736	chip_1g_C08	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732091		public	sra	SRX534557	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C08	2014-05-08	10	6	ILLUMINA	2014-08-02	SRR1274353	SRS603274	SRP041736	chip_1g_C08	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732092		public	sra	SRX534558	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C09	2014-05-08	497	344	ILLUMINA	2014-08-02	SRR1274354	SRS603276	SRP041736	chip_1g_C09	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732092		public	sra	SRX534558	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C09	2014-05-08	16	9	ILLUMINA	2014-08-02	SRR1274355	SRS603276	SRP041736	chip_1g_C09	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732093		public	sra	SRX534559	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C14	2014-05-08	515	357	ILLUMINA	2014-08-02	SRR1274356	SRS603275	SRP041736	chip_1g_C14	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732093		public	sra	SRX534559	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C14	2014-05-08	15	9	ILLUMINA	2014-08-02	SRR1274357	SRS603275	SRP041736	chip_1g_C14	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732094		public	sra	SRX534560	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C15	2014-05-08	541	375	ILLUMINA	2014-08-02	SRR1274358	SRS603277	SRP041736	chip_1g_C15	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732094		public	sra	SRX534560	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C15	2014-05-08	20	12	ILLUMINA	2014-08-02	SRR1274359	SRS603277	SRP041736	chip_1g_C15	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732095		public	sra	SRX534561	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C19	2014-05-08	401	275	ILLUMINA	2014-08-02	SRR1274360	SRS603278	SRP041736	chip_1g_C19	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732095		public	sra	SRX534561	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C19	2014-05-08	13	8	ILLUMINA	2014-08-02	SRR1274361	SRS603278	SRP041736	chip_1g_C19	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732096		public	sra	SRX534562	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C20	2014-05-08	583	402	ILLUMINA	2014-08-02	SRR1274362	SRS603279	SRP041736	chip_1g_C20	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732096		public	sra	SRX534562	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C20	2014-05-08	20	12	ILLUMINA	2014-08-02	SRR1274363	SRS603279	SRP041736	chip_1g_C20	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732097		public	sra	SRX534563	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C21	2014-05-08	343	235	ILLUMINA	2014-08-02	SRR1274364	SRS603280	SRP041736	chip_1g_C21	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732097		public	sra	SRX534563	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C21	2014-05-08	10	6	ILLUMINA	2014-08-02	SRR1274365	SRS603280	SRP041736	chip_1g_C21	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732098		public	sra	SRX534564	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C25	2014-05-08	355	246	ILLUMINA	2014-08-02	SRR1274366	SRS603281	SRP041736	chip_1g_C25	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732098		public	sra	SRX534564	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C25	2014-05-08	17	10	ILLUMINA	2014-08-02	SRR1274367	SRS603281	SRP041736	chip_1g_C25	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732099		public	sra	SRX534565	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C26	2014-05-08	566	394	ILLUMINA	2014-08-02	SRR1274368	SRS603282	SRP041736	chip_1g_C26	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732099		public	sra	SRX534565	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C26	2014-05-08	19	11	ILLUMINA	2014-08-02	SRR1274369	SRS603282	SRP041736	chip_1g_C26	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732100		public	sra	SRX534566	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C27	2014-05-08	402	280	ILLUMINA	2014-08-02	SRR1274370	SRS603283	SRP041736	chip_1g_C27	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732100		public	sra	SRX534566	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C27	2014-05-08	19	11	ILLUMINA	2014-08-02	SRR1274371	SRS603283	SRP041736	chip_1g_C27	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732101		public	sra	SRX534567	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C31	2014-05-08	291	201	ILLUMINA	2014-08-02	SRR1274372	SRS603284	SRP041736	chip_1g_C31	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732101		public	sra	SRX534567	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C31	2014-05-08	11	6	ILLUMINA	2014-08-02	SRR1274373	SRS603284	SRP041736	chip_1g_C31	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732102		public	sra	SRX534568	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C32	2014-05-08	290	200	ILLUMINA	2014-08-02	SRR1274374	SRS603285	SRP041736	chip_1g_C32	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732102		public	sra	SRX534568	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C32	2014-05-08	9	5	ILLUMINA	2014-08-02	SRR1274375	SRS603285	SRP041736	chip_1g_C32	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732103		public	sra	SRX534569	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C33	2014-05-08	435	301	ILLUMINA	2014-08-02	SRR1274376	SRS603286	SRP041736	chip_1g_C33	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732103		public	sra	SRX534569	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C33	2014-05-08	17	10	ILLUMINA	2014-08-02	SRR1274377	SRS603286	SRP041736	chip_1g_C33	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732104		public	sra	SRX534570	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C37	2014-05-08	279	192	ILLUMINA	2014-08-02	SRR1274378	SRS603287	SRP041736	chip_1g_C37	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732104		public	sra	SRX534570	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C37	2014-05-08	12	7	ILLUMINA	2014-08-02	SRR1274379	SRS603287	SRP041736	chip_1g_C37	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732105		public	sra	SRX534571	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C38	2014-05-08	528	365	ILLUMINA	2014-08-02	SRR1274380	SRS603288	SRP041736	chip_1g_C38	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732105		public	sra	SRX534571	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C38	2014-05-08	17	10	ILLUMINA	2014-08-02	SRR1274381	SRS603288	SRP041736	chip_1g_C38	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732106		public	sra	SRX534572	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C39	2014-05-08	493	341	ILLUMINA	2014-08-02	SRR1274382	SRS603290	SRP041736	chip_1g_C39	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732106		public	sra	SRX534572	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C39	2014-05-08	23	14	ILLUMINA	2014-08-02	SRR1274383	SRS603290	SRP041736	chip_1g_C39	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732107		public	sra	SRX534573	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C43	2014-05-08	321	222	ILLUMINA	2014-08-02	SRR1274384	SRS603289	SRP041736	chip_1g_C43	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732107		public	sra	SRX534573	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C43	2014-05-08	9	5	ILLUMINA	2014-08-02	SRR1274385	SRS603289	SRP041736	chip_1g_C43	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732108		public	sra	SRX534574	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C44	2014-05-08	421	291	ILLUMINA	2014-08-02	SRR1274386	SRS603291	SRP041736	chip_1g_C44	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732108		public	sra	SRX534574	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C44	2014-05-08	12	7	ILLUMINA	2014-08-02	SRR1274387	SRS603291	SRP041736	chip_1g_C44	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732109		public	sra	SRX534575	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C45	2014-05-08	391	270	ILLUMINA	2014-08-02	SRR1274388	SRS603292	SRP041736	chip_1g_C45	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732109		public	sra	SRX534575	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C45	2014-05-08	13	8	ILLUMINA	2014-08-02	SRR1274389	SRS603292	SRP041736	chip_1g_C45	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732110		public	sra	SRX534576	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C49	2014-05-08	568	394	ILLUMINA	2014-08-02	SRR1274390	SRS603293	SRP041736	chip_1g_C49	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732110		public	sra	SRX534576	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C49	2014-05-08	12	7	ILLUMINA	2014-08-02	SRR1274391	SRS603293	SRP041736	chip_1g_C49	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732111		public	sra	SRX534577	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C50	2014-05-08	472	326	ILLUMINA	2014-08-02	SRR1274392	SRS603294	SRP041736	chip_1g_C50	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732111		public	sra	SRX534577	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C50	2014-05-08	14	9	ILLUMINA	2014-08-02	SRR1274393	SRS603294	SRP041736	chip_1g_C50	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732112		public	sra	SRX534578	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C54	2014-05-08	270	186	ILLUMINA	2014-08-02	SRR1274394	SRS603295	SRP041736	chip_1g_C54	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732112		public	sra	SRX534578	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C54	2014-05-08	6	4	ILLUMINA	2014-08-02	SRR1274395	SRS603295	SRP041736	chip_1g_C54	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732113		public	sra	SRX534579	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C55	2014-05-08	301	207	ILLUMINA	2014-08-02	SRR1274396	SRS603296	SRP041736	chip_1g_C55	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732114		public	sra	SRX534580	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C56	2014-05-08	378	261	ILLUMINA	2014-08-02	SRR1274398	SRS603297	SRP041736	chip_1g_C56	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732132		public	sra	SRX534598	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C94	2014-05-08	13	8	ILLUMINA	2014-08-02	SRR1275333	SRS603315	SRP041736	chip_1g_C94	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732120		public	sra	SRX534586	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C68	2014-05-08	506	348	ILLUMINA	2014-08-02	SRR1275372	SRS603303	SRP041736	chip_1g_C68	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732121		public	sra	SRX534587	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C72	2014-05-08	393	271	ILLUMINA	2014-08-02	SRR1275374	SRS603304	SRP041736	chip_1g_C72	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732122		public	sra	SRX534588	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C74	2014-05-08	478	333	ILLUMINA	2014-08-02	SRR1275376	SRS603305	SRP041736	chip_1g_C74	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
