Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	g1k_pop_code	population	AssemblyName	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	LibrarySource	Organism	Strain	g1k_analysis_group
OTHER	36	PRJEB3365	SAMEA1573327	CNAG and CRG	2012-11-06	ERX162207	0	Illumina HiSeq 2000	SINGLE	cDNA	NA11920.2.MI_120126_6 extract	2012-11-06	262	164	ILLUMINA	2012-11-06	ERR187522	ERS185051	ERP001941	GEUV:NA11920		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573470	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162193	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19095.3.MI_120120_6 extract	2012-11-06	368	251	ILLUMINA	2012-11-06	ERR187523	ERS185037	ERP001941	GEUV:NA19095		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573200	Leiden University Medical Center	2012-11-06	ERX162240	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00361.7.MI_120224_3 extract	2012-11-06	500	362	ILLUMINA	2012-11-06	ERR187524	ERS185084	ERP001941	GEUV:HG00361		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573477	University of Geneva	2012-11-06	ERX162432	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00096.1.MI_120104_4 extract	2012-11-06	303	189	ILLUMINA	2012-11-06	ERR187525	ERS185276	ERP001941	GEUV:HG00096		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573148	University of Geneva	2012-11-06	ERX162593	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18508.1.MI_120104_2 extract	2012-11-06	97	63	ILLUMINA	2012-11-06	ERR187527	ERS185437	ERP001941	GEUV:NA18508		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573179	Uppsala University	2012-11-06	ERX162205	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18907.6.MI_120309_1 extract	2012-11-06	1205	812	ILLUMINA	2012-11-06	ERR187528	ERS185049	ERP001941	GEUV:NA18907		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573524	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162555	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00360.3.MI_120120_1 extract	2012-11-06	152	97	ILLUMINA	2012-11-06	ERR187529	ERS185399	ERP001941	GEUV:HG00360		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573228	Leiden University Medical Center	2012-11-06	ERX162256	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18511.7.MI_120224_2 extract	2012-11-06	256	190	ILLUMINA	2012-11-06	ERR187530	ERS185100	ERP001941	GEUV:NA18511		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573515	University of Geneva	2012-11-06	ERX162622	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00258.1.MI_120104_1 extract	2012-11-06	219	138	ILLUMINA	2012-11-06	ERR187531	ERS185466	ERP001941	GEUV:HG00258		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573497	CNAG and CRG	2012-11-06	ERX162606	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20812.2.MI_120126_7 extract	2012-11-06	304	195	ILLUMINA	2012-11-06	ERR187532	ERS185450	ERP001941	GEUV:NA20812		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573543	University of Geneva	2012-11-06	ERX162324	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00353.1.MI_120104_3 extract	2012-11-06	305	181	ILLUMINA	2012-11-06	ERR187533	ERS185168	ERP001941	GEUV:HG00353		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573185	University of Geneva	2012-11-06	ERX162241	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00101.1.MI_120104_4 extract	2012-11-07	303	190	ILLUMINA	2012-11-07	ERR187534	ERS185085	ERP001941	GEUV:HG00101		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573323	CNAG and CRG	2012-11-06	ERX162472	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19200.2.MI_120126_5 extract	2012-11-06	324	208	ILLUMINA	2012-11-06	ERR187535	ERS185316	ERP001941	GEUV:NA19200		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573266	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162504	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19175.4.MI_120524_3 extract	2012-11-06	79	50	ILLUMINA	2012-11-06	ERR187536	ERS185348	ERP001941	GEUV:NA19175		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573363	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162570	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00379.5.MI_120327_3 extract	2012-11-06	481	295	ILLUMINA	2012-11-06	ERR187537	ERS185414	ERP001941	GEUV:HG00379		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573534	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162626	0	Illumina HiSeq 2000	SINGLE	cDNA	NA06986.5.MI_120327_5 extract	2012-11-06	1715	1175	ILLUMINA	2012-11-06	ERR187538	ERS185470	ERP001941	GEUV:NA06986		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573129	Leiden University Medical Center	2012-11-06	ERX162486	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12814.7.MI_120224_2 extract	2012-11-06	188	140	ILLUMINA	2012-11-06	ERR187539	ERS185330	ERP001941	GEUV:NA12814		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573354	Uppsala University	2012-11-06	ERX162267	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00145.6.MI_120217_1 extract	2012-11-06	507	346	ILLUMINA	2012-11-06	ERR187540	ERS185111	ERP001941	GEUV:HG00145		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573536	Leiden University Medical Center	2012-11-06	ERX162380	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20803.7.MI_120224_2 extract	2012-11-06	184	132	ILLUMINA	2012-11-06	ERR187541	ERS185224	ERP001941	GEUV:NA20803		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573089	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162401	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00171.3.MI_120120_1 extract	2012-11-06	607	393	ILLUMINA	2012-11-06	ERR187542	ERS185245	ERP001941	GEUV:HG00171		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573400	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162454	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12827.3.MI_120120_6 extract	2012-11-06	406	267	ILLUMINA	2012-11-06	ERR187543	ERS185298	ERP001941	GEUV:NA12827		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573106	Uppsala University	2012-11-06	ERX162342	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20809.6.MI_120217_1 extract	2012-11-06	421	288	ILLUMINA	2012-11-06	ERR187544	ERS185186	ERP001941	GEUV:NA20809		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573496	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162522	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19247.3.MI_120120_2 extract	2012-11-06	100	68	ILLUMINA	2012-11-06	ERR187545	ERS185366	ERP001941	GEUV:NA19247		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
