Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	population	Consent	Strain
OTHER	102	PRJEB2123	SAMEA1013423	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004411	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib74	2014-11-23	2125	1700	Homo sapiens	ILLUMINA	2012-01-02	ERR011456	ERS008776	ERP000177	NA12489		public	
OTHER	102	PRJEB2123	SAMEA1013422	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004412	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib75	2014-11-23	1837	1181	Homo sapiens	ILLUMINA	2012-01-02	ERR011457	ERS008775	ERP000177	NA11894		public	
OTHER	102	PRJEB2123	SAMEA1013419	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004413	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib76	2014-11-23	1940	1299	Homo sapiens	ILLUMINA	2012-01-02	ERR011458	ERS008772	ERP000177	NA07347		public	
OTHER	102	PRJEB2123	SAMEA1013421	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004414	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib77	2014-11-23	1874	1334	Homo sapiens	ILLUMINA	2012-01-02	ERR011459	ERS008773	ERP000177	NA12045		public	
OTHER	108	PRJEB2123	SAMEA1013419	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004483	169	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA07347_47089_LIB1	2014-05-31	793	368	Homo sapiens	ILLUMINA	2012-01-02	ERR012008	ERS008772	ERP000177	NA07347		public	
OTHER	108	PRJEB2123	SAMEA1013421	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004484	68	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12045_47090_LIB1	2014-05-31	1181	571	Homo sapiens	ILLUMINA	2012-01-02	ERR012009	ERS008773	ERP000177	NA12045		public	
OTHER	108	PRJEB2123	SAMEA1013424	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004485	208	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11919_47091_LIB3	2014-05-31	1594	878	Homo sapiens	ILLUMINA	2012-01-02	ERR012010	ERS008774	ERP000177	NA11919		public	
OTHER	108	PRJEB2123	SAMEA1013423	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004487	246	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12489_47093_LIB2	2014-05-31	1765	1021	Homo sapiens	ILLUMINA	2012-01-02	ERR012011	ERS008776	ERP000177	NA12489		public	
OTHER	108	PRJEB2123	SAMEA1013422	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004486	237	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11894_47092_LIB1	2014-05-31	2031	1284	Homo sapiens	ILLUMINA	2012-01-02	ERR012012	ERS008775	ERP000177	NA11894		public	
OTHER	50	PRJEB2123	SAMEA1013422	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004603	0	AB SOLiD System 3.0	SINGLE	other	OTHER	714	2014-05-31	4376	3846	Homo sapiens	ABI_SOLID	2012-02-03	ERR012178	ERS008775	ERP000177	NA11894		public	
OTHER	50	PRJEB2123	SAMEA1013424	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004602	0	AB SOLiD System 3.0	SINGLE	other	OTHER	713	2014-05-31	4465	3935	Homo sapiens	ABI_SOLID	2012-02-03	ERR012179	ERS008774	ERP000177	NA11919		public	
OTHER	50	PRJEB2123	SAMEA1013423	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004604	0	AB SOLiD System 3.0	SINGLE	other	OTHER	715	2014-05-31	3727	3294	Homo sapiens	ABI_SOLID	2012-02-03	ERR012180	ERS008776	ERP000177	NA12489		public	
OTHER	50	PRJEB2123	SAMEA1013419	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004600	0	AB SOLiD System 3.0	SINGLE	other	OTHER	711	2014-05-31	2772	2444	Homo sapiens	ABI_SOLID	2012-02-03	ERR012181	ERS008772	ERP000177	NA07347		public	
OTHER	50	PRJEB2123	SAMEA1013421	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004601	0	AB SOLiD System 3.0	SINGLE	other	OTHER	712	2014-05-31	2020	1773	Homo sapiens	ABI_SOLID	2012-02-03	ERR012182	ERS008773	ERP000177	NA12045		public	
OTHER	50	PRJEB2123	SAMEA1013421	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004605	0	AB SOLiD System 3.0	SINGLE	other	OTHER	715N	2014-05-31	1753	1533	Homo sapiens	ABI_SOLID	2012-02-03	ERR012183	ERS008773	ERP000177	NA12045		public	
OTHER	50	PRJEB2123	SAMEA1013422	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004609	0	AB SOLiD System 3.0	SINGLE	other	OTHER	733	2014-05-31	8860	7837	Homo sapiens	ABI_SOLID	2012-02-03	ERR012184	ERS008775	ERP000177	NA11894		public	
OTHER	50	PRJEB2123	SAMEA1013419	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004606	0	AB SOLiD System 3.0	SINGLE	other	OTHER	730	2014-05-31	2078	1840	Homo sapiens	ABI_SOLID	2012-02-03	ERR012185	ERS008772	ERP000177	NA07347		public	
OTHER	50	PRJEB2123	SAMEA1013423	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004610	0	AB SOLiD System 3.0	SINGLE	other	OTHER	734	2014-05-31	2440	2163	Homo sapiens	ABI_SOLID	2012-02-03	ERR012186	ERS008776	ERP000177	NA12489		public	
OTHER	50	PRJEB2123	SAMEA1013421	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004607	0	AB SOLiD System 3.0	SINGLE	other	OTHER	731	2014-05-31	2817	2493	Homo sapiens	ABI_SOLID	2012-02-03	ERR012187	ERS008773	ERP000177	NA12045		public	
OTHER	50	PRJEB2123	SAMEA1013424	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2010-04-14	2018-03-08	ERX004608	0	AB SOLiD System 3.0	SINGLE	other	OTHER	732	2014-05-31	2301	2037	Homo sapiens	ABI_SOLID	2012-02-03	ERR012188	ERS008774	ERP000177	NA11919		public	
OTHER	36	PRJEB3365	SAMEA1573535	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162418	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA07000.1.MI_120104_3 extract	2012-11-06	134	82	Homo sapiens	ILLUMINA	2012-11-06	ERR187488	ERS185262	ERP001941	GEUV:NA07000	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573367	Max Planck Institute for Molecular Genetics	sra	ncbi	2012-11-06	2018-03-08	ERX162210	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA19197.3.MI_120120_4 extract	2012-11-06	333	216	Homo sapiens	ILLUMINA	2012-11-06	ERR187489	ERS185054	ERP001941	GEUV:NA19197	YRI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573405	CNAG and CRG	sra	ncbi	2012-11-06	2018-03-08	ERX162517	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00251.2.MI_120126_8 extract	2012-11-06	295	175	Homo sapiens	ILLUMINA	2012-11-06	ERR187490	ERS185361	ERP001941	GEUV:HG00251	GBR	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573278	Leiden University Medical Center	sra	ncbi	2012-11-06	2018-03-08	ERX162537	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA18908.7.MI_120224_3 extract	2012-11-06	160	120	Homo sapiens	ILLUMINA	2012-11-06	ERR187491	ERS185381	ERP001941	GEUV:NA18908	YRI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573165	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162182	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA12383.1.MI_120104_1 extract	2012-11-06	731	446	Homo sapiens	ILLUMINA	2012-11-06	ERR187492	ERS185026	ERP001941	GEUV:NA12383	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573358	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162608	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA19117.1.MI_120104_3 extract	2012-11-06	142	87	Homo sapiens	ILLUMINA	2012-11-06	ERR187493	ERS185452	ERP001941	GEUV:NA19117	YRI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573361	Max Planck Institute for Molecular Genetics	sra	ncbi	2012-11-06	2018-03-08	ERX162475	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00285.3.MI_120120_5 extract	2012-11-06	405	270	Homo sapiens	ILLUMINA	2012-11-06	ERR187494	ERS185319	ERP001941	GEUV:HG00285	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573173	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162410	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA12717.1.MI_120104_4 extract	2012-11-06	290	180	Homo sapiens	ILLUMINA	2012-11-06	ERR187495	ERS185254	ERP001941	GEUV:NA12717	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573533	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	sra	ncbi	2012-11-06	2018-03-08	ERX162379	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20516.5.MI_120327_3 extract	2012-11-06	662	381	Homo sapiens	ILLUMINA	2012-11-06	ERR187496	ERS185223	ERP001941	GEUV:NA20516	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573207	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162259	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA12812.1.MI_120104_1 extract	2012-11-06	216	139	Homo sapiens	ILLUMINA	2012-11-06	ERR187497	ERS185103	ERP001941	GEUV:NA12812	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573390	Max Planck Institute for Molecular Genetics	sra	ncbi	2012-11-06	2018-03-08	ERX162495	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20819.3.MI_120120_6 extract	2012-11-06	524	335	Homo sapiens	ILLUMINA	2012-11-06	ERR187498	ERS185339	ERP001941	GEUV:NA20819	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573311	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162235	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00189.1.MI_120104_3 extract	2012-11-06	286	170	Homo sapiens	ILLUMINA	2012-11-06	ERR187499	ERS185079	ERP001941	GEUV:HG00189	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573156	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162398	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20504.1.MI_120104_2 extract	2012-11-06	482	274	Homo sapiens	ILLUMINA	2012-11-06	ERR187500	ERS185242	ERP001941	GEUV:NA20504	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573184	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162400	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA12890.1.MI_120104_4 extract	2012-11-06	202	124	Homo sapiens	ILLUMINA	2012-11-06	ERR187501	ERS185244	ERP001941	GEUV:NA12890	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573221	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2012-11-06	2018-03-08	ERX162536	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20582.4.MI_120208_5 extract	2012-11-06	372	233	Homo sapiens	ILLUMINA	2012-11-06	ERR187502	ERS185380	ERP001941	GEUV:NA20582	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573379	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162373	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20514.1.MI_120104_2 extract	2012-11-06	342	217	Homo sapiens	ILLUMINA	2012-11-06	ERR187503	ERS185217	ERP001941	GEUV:NA20514	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573193	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162204	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA20505.1.MI_120104_1 extract	2012-11-06	111	67	Homo sapiens	ILLUMINA	2012-11-06	ERR187504	ERS185048	ERP001941	GEUV:NA20505	TSI	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573269	University of Geneva	sra	ncbi	2012-11-06	2018-03-08	ERX162254	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00345.1.MI_120104_3 extract	2012-11-06	240	146	Homo sapiens	ILLUMINA	2012-11-06	ERR187505	ERS185098	ERP001941	GEUV:HG00345	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573096	Institute of Clinical Molecular Biology, University of Kiel, Germany	sra	ncbi	2012-11-06	2018-03-08	ERX162408	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00344.4.MI_120208_5 extract	2012-11-06	298	188	Homo sapiens	ILLUMINA	2012-11-06	ERR187506	ERS185252	ERP001941	GEUV:HG00344	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573249	Leiden University Medical Center	sra	ncbi	2012-11-06	2018-03-08	ERX162294	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA11893.7.MI_120224_2 extract	2012-11-06	1122	817	Homo sapiens	ILLUMINA	2012-11-06	ERR187507	ERS185138	ERP001941	GEUV:NA11893	CEU	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573420	CNAG and CRG	sra	ncbi	2012-11-06	2018-03-08	ERX162516	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00276.2.MI_120126_2 extract	2012-11-06	372	252	Homo sapiens	ILLUMINA	2012-11-06	ERR187508	ERS185360	ERP001941	GEUV:HG00276	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573389	Leiden University Medical Center	sra	ncbi	2012-11-06	2018-03-08	ERX162573	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	HG00272.7.MI_120224_3 extract	2012-11-06	739	540	Homo sapiens	ILLUMINA	2012-11-06	ERR187509	ERS185417	ERP001941	GEUV:HG00272	FIN	public	lymphoblastoid cell line
OTHER	36	PRJEB3365	SAMEA1573498	CNAG and CRG	sra	ncbi	2012-11-06	2018-03-08	ERX162217	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	NA19099.2.MI_120126_4 extract	2012-11-06	365	238	Homo sapiens	ILLUMINA	2012-11-06	ERR187510	ERS185061	ERP001941	GEUV:NA19099	YRI	public	lymphoblastoid cell line
