Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	isolate	patient_phenotype	run_label	seasonality	source_name	timepoint	tissue	treatment	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Organism	analyte	biomaterial_provider	health_state	sex
RNA-Seq	51	PRJNA287538	SAMN04028905	GEO	SRX1182519	Illumina HiSeq 2500	cDNA		2015-09-04	194	87	ILLUMINA	2017-01-03	SRR2240333	SRS1054798	SRP059689	GSM1868728		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028905	GEO	SRX1182519	Illumina HiSeq 2500	cDNA		2015-09-04	0	0	ILLUMINA	2017-01-03	SRR2240334	SRS1054798	SRP059689	GSM1868728		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028905	GEO	SRX1182519	Illumina HiSeq 2500	cDNA		2015-09-04	191	85	ILLUMINA	2017-01-03	SRR2240335	SRS1054798	SRP059689	GSM1868728		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028878	GEO	SRX1182520	Illumina HiSeq 2500	cDNA		2015-09-04	166	74	ILLUMINA	2017-01-03	SRR2240336	SRS1054797	SRP059689	GSM1868729		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028878	GEO	SRX1182520	Illumina HiSeq 2500	cDNA		2015-09-04	162	72	ILLUMINA	2017-01-03	SRR2240337	SRS1054797	SRP059689	GSM1868729		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028886	GEO	SRX1182521	Illumina HiSeq 2500	cDNA		2015-09-04	134	60	ILLUMINA	2017-01-03	SRR2240338	SRS1054796	SRP059689	GSM1868730		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028886	GEO	SRX1182521	Illumina HiSeq 2500	cDNA		2015-09-04	132	58	ILLUMINA	2017-01-03	SRR2240339	SRS1054796	SRP059689	GSM1868730		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028887	GEO	SRX1182522	Illumina HiSeq 2500	cDNA		2015-09-04	169	76	ILLUMINA	2017-01-03	SRR2240340	SRS1054795	SRP059689	GSM1868731		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028887	GEO	SRX1182522	Illumina HiSeq 2500	cDNA		2015-09-04	166	74	ILLUMINA	2017-01-03	SRR2240341	SRS1054795	SRP059689	GSM1868731		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028879	GEO	SRX1182523	Illumina HiSeq 2500	cDNA		2015-09-04	174	78	ILLUMINA	2017-01-03	SRR2240342	SRS1054794	SRP059689	GSM1868732		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028879	GEO	SRX1182523	Illumina HiSeq 2500	cDNA		2015-09-04	170	76	ILLUMINA	2017-01-03	SRR2240343	SRS1054794	SRP059689	GSM1868732		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028880	GEO	SRX1182524	Illumina HiSeq 2500	cDNA		2015-09-04	149	67	ILLUMINA	2017-01-03	SRR2240344	SRS1054793	SRP059689	GSM1868733		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028880	GEO	SRX1182524	Illumina HiSeq 2500	cDNA		2015-09-04	146	65	ILLUMINA	2017-01-03	SRR2240345	SRS1054793	SRP059689	GSM1868733		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028881	GEO	SRX1182525	Illumina HiSeq 2500	cDNA		2015-09-04	169	76	ILLUMINA	2017-01-03	SRR2240346	SRS1054792	SRP059689	GSM1868734		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028881	GEO	SRX1182525	Illumina HiSeq 2500	cDNA		2015-09-04	165	74	ILLUMINA	2017-01-03	SRR2240347	SRS1054792	SRP059689	GSM1868734		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028882	GEO	SRX1182526	Illumina HiSeq 2500	cDNA		2015-09-04	148	66	ILLUMINA	2017-01-03	SRR2240348	SRS1054791	SRP059689	GSM1868735		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028882	GEO	SRX1182526	Illumina HiSeq 2500	cDNA		2015-09-04	144	64	ILLUMINA	2017-01-03	SRR2240349	SRS1054791	SRP059689	GSM1868735		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028883	GEO	SRX1182527	Illumina HiSeq 2500	cDNA		2015-09-04	189	85	ILLUMINA	2017-01-03	SRR2240350	SRS1054790	SRP059689	GSM1868736		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028883	GEO	SRX1182527	Illumina HiSeq 2500	cDNA		2015-09-04	185	83	ILLUMINA	2017-01-03	SRR2240351	SRS1054790	SRP059689	GSM1868736		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028884	GEO	SRX1182528	Illumina HiSeq 2500	cDNA		2015-09-04	157	70	ILLUMINA	2017-01-03	SRR2240352	SRS1054789	SRP059689	GSM1868737		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028884	GEO	SRX1182528	Illumina HiSeq 2500	cDNA		2015-09-04	153	68	ILLUMINA	2017-01-03	SRR2240353	SRS1054789	SRP059689	GSM1868737		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028885	GEO	SRX1182529	Illumina HiSeq 2500	cDNA		2015-09-04	194	87	ILLUMINA	2017-01-03	SRR2240354	SRS1054788	SRP059689	GSM1868738		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028885	GEO	SRX1182529	Illumina HiSeq 2500	cDNA		2015-09-04	15	7	ILLUMINA	2017-01-03	SRR2240355	SRS1054788	SRP059689	GSM1868738		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028900	GEO	SRX1182514	Illumina HiSeq 2500	cDNA		2015-09-04	156	70	ILLUMINA	2017-01-03	SRR2240321	SRS1054803	SRP059689	GSM1868723		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028899	GEO	SRX1182513	Illumina HiSeq 2500	cDNA		2015-09-04	149	66	ILLUMINA	2017-01-03	SRR2240320	SRS1054804	SRP059689	GSM1868722		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028899	GEO	SRX1182513	Illumina HiSeq 2500	cDNA		2015-09-04	152	68	ILLUMINA	2017-01-03	SRR2240319	SRS1054804	SRP059689	GSM1868722		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028885	GEO	SRX1182529	Illumina HiSeq 2500	cDNA		2015-09-04	194	87	ILLUMINA	2017-01-03	SRR2240356	SRS1054788	SRP059689	GSM1868738		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028885	GEO	SRX1182529	Illumina HiSeq 2500	cDNA		2015-09-04	11	5	ILLUMINA	2017-01-03	SRR2240357	SRS1054788	SRP059689	GSM1868738		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028888	GEO	SRX1182530	Illumina HiSeq 2500	cDNA		2015-09-04	144	65	ILLUMINA	2017-01-03	SRR2240358	SRS1054787	SRP059689	GSM1868739		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028888	GEO	SRX1182530	Illumina HiSeq 2500	cDNA		2015-09-04	141	63	ILLUMINA	2017-01-03	SRR2240359	SRS1054787	SRP059689	GSM1868739		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028889	GEO	SRX1182531	Illumina HiSeq 2500	cDNA		2015-09-04	186	84	ILLUMINA	2017-01-03	SRR2240360	SRS1054786	SRP059689	GSM1868740		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028889	GEO	SRX1182531	Illumina HiSeq 2500	cDNA		2015-09-04	182	82	ILLUMINA	2017-01-03	SRR2240361	SRS1054786	SRP059689	GSM1868740		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028890	GEO	SRX1182532	Illumina HiSeq 2500	cDNA		2015-09-04	160	72	ILLUMINA	2017-01-03	SRR2240362	SRS1054785	SRP059689	GSM1868741		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028890	GEO	SRX1182532	Illumina HiSeq 2500	cDNA		2015-09-04	157	70	ILLUMINA	2017-01-03	SRR2240363	SRS1054785	SRP059689	GSM1868741		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028891	GEO	SRX1182533	Illumina HiSeq 2500	cDNA		2015-09-04	158	71	ILLUMINA	2017-01-03	SRR2240364	SRS1054784	SRP059689	GSM1868742		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028891	GEO	SRX1182533	Illumina HiSeq 2500	cDNA		2015-09-04	155	69	ILLUMINA	2017-01-03	SRR2240365	SRS1054784	SRP059689	GSM1868742		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028892	GEO	SRX1182534	Illumina HiSeq 2500	cDNA		2015-09-04	169	76	ILLUMINA	2017-01-03	SRR2240366	SRS1054783	SRP059689	GSM1868743		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028892	GEO	SRX1182534	Illumina HiSeq 2500	cDNA		2015-09-04	165	74	ILLUMINA	2017-01-03	SRR2240367	SRS1054783	SRP059689	GSM1868743		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028893	GEO	SRX1182535	Illumina HiSeq 2500	cDNA		2015-09-04	132	59	ILLUMINA	2017-01-03	SRR2240368	SRS1054782	SRP059689	GSM1868744		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028893	GEO	SRX1182535	Illumina HiSeq 2500	cDNA		2015-09-04	129	57	ILLUMINA	2017-01-03	SRR2240369	SRS1054782	SRP059689	GSM1868744		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028894	GEO	SRX1182536	Illumina HiSeq 2500	cDNA		2015-09-04	148	66	ILLUMINA	2017-01-03	SRR2240370	SRS1054781	SRP059689	GSM1868745		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028894	GEO	SRX1182536	Illumina HiSeq 2500	cDNA		2015-09-04	144	65	ILLUMINA	2017-01-03	SRR2240371	SRS1054781	SRP059689	GSM1868745		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028895	GEO	SRX1182537	Illumina HiSeq 2500	cDNA		2015-09-04	159	71	ILLUMINA	2017-01-03	SRR2240372	SRS1054780	SRP059689	GSM1868746		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028895	GEO	SRX1182537	Illumina HiSeq 2500	cDNA		2015-09-04	155	69	ILLUMINA	2017-01-03	SRR2240373	SRS1054780	SRP059689	GSM1868746		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028896	GEO	SRX1182538	Illumina HiSeq 2500	cDNA		2015-09-04	162	73	ILLUMINA	2017-01-03	SRR2240374	SRS1054779	SRP059689	GSM1868747		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028896	GEO	SRX1182538	Illumina HiSeq 2500	cDNA		2015-09-04	158	71	ILLUMINA	2017-01-03	SRR2240375	SRS1054779	SRP059689	GSM1868747		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028897	GEO	SRX1182539	Illumina HiSeq 2500	cDNA		2015-09-04	145	65	ILLUMINA	2017-01-03	SRR2240376	SRS1054778	SRP059689	GSM1868748		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
