Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	disease	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		51	PRJNA230811	SAMN02437853	GEO	sra	SRX388226	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	159	122	ILLUMINA	2014-07-02	SRR1044435	SRS512113	SRP033566	GSM1281727	68		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437846	GEO	sra	SRX388227	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	640	485	ILLUMINA	2014-07-02	SRR1044436	SRS512114	SRP033566	GSM1281728	68		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437854	GEO	sra	SRX388228	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	175	135	ILLUMINA	2014-07-02	SRR1044437	SRS512115	SRP033566	GSM1281729	45		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437857	GEO	sra	SRX388230	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	625	478	ILLUMINA	2014-07-02	SRR1044439	SRS512116	SRP033566	GSM1281731	60		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437856	GEO	sra	SRX388229	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	138	106	ILLUMINA	2014-07-02	SRR1044438	SRS512117	SRP033566	GSM1281730	60		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437855	GEO	sra	SRX388231	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	116	90	ILLUMINA	2014-07-02	SRR1044440	SRS512118	SRP033566	GSM1281732	32		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437859	GEO	sra	SRX388232	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	951	735	ILLUMINA	2014-07-02	SRR1044441	SRS512119	SRP033566	GSM1281733	61		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437861	GEO	sra	SRX388233	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	189	148	ILLUMINA	2014-07-02	SRR1044442	SRS512120	SRP033566	GSM1281734	61		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437858	GEO	sra	SRX388234	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	93	73	ILLUMINA	2014-07-02	SRR1044443	SRS512121	SRP033566	GSM1281735	70		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437680	GEO	sra	SRX388235	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	641	501	ILLUMINA	2014-07-02	SRR1044444	SRS512122	SRP033566	GSM1281736	61		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		295	PRJNA316578	SAMN04858232	GUANGZHOU INSTITUTE OF RESPIRATORY DISEASE, FIRST 	sra	SRX1706431	0	Illumina HiSeq 3000	PAIRED	cDNA		2016-04-15	9297	3893	ILLUMINA	2017-06-30	SRR3389246	SRS1398304	SRP073347	LKZ-CON-013	29	PBMC	health		whole blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		292	PRJNA316578	SAMN04858233	GUANGZHOU INSTITUTE OF RESPIRATORY DISEASE, FIRST 	sra	SRX1706432	0	Illumina HiSeq 3000	PAIRED	cDNA		2016-04-15	9015	3776	ILLUMINA	2017-06-30	SRR3390437	SRS1398305	SRP073347	LKZ-CON-014	30	PBMC	health		whole blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		295	PRJNA316578	SAMN04858234	GUANGZHOU INSTITUTE OF RESPIRATORY DISEASE, FIRST 	sra	SRX1706433	0	Illumina HiSeq 3000	PAIRED	cDNA		2016-04-16	7376	3109	ILLUMINA	2017-06-30	SRR3390461	SRS1398306	SRP073347	LKZ-CON-015	36	PBMC	health		whole blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		295	PRJNA316578	SAMN04858235	GUANGZHOU INSTITUTE OF RESPIRATORY DISEASE, FIRST 	sra	SRX1706435	0	Illumina HiSeq 3000	PAIRED	cDNA		2016-04-16	7807	3338	ILLUMINA	2017-06-30	SRR3390473	SRS1398307	SRP073347	LKZ-CON-016	40	PBMC	health		whole blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
OTHER		147	PRJNA391483	SAMN07269570	GEO	sra	SRX2947586	0	Illumina MiSeq	SINGLE	other		2017-06-22	12	6	ILLUMINA	2017-07-22	SRR5742673	SRS2306787	SRP110174	GSM2679783			None (healthy control)	Bronchoalveolar lavage		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
OTHER		147	PRJNA391483	SAMN07269570	GEO	sra	SRX2947586	0	Illumina MiSeq	SINGLE	other		2017-06-22	40	20	ILLUMINA	2017-07-22	SRR5742674	SRS2306787	SRP110174	GSM2679783			None (healthy control)	Bronchoalveolar lavage		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437860	GEO	sra	SRX388236	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	237	182	ILLUMINA	2014-07-02	SRR1044445	SRS512123	SRP033566	GSM1281737	61		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140155	GEO	sra	SRX739109	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3581	2572	ILLUMINA	2014-11-04	SRR1619533	SRS726874	SRP049203	GSM1530722		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140157	GEO	sra	SRX739110	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3128	2252	ILLUMINA	2014-11-04	SRR1619534	SRS726875	SRP049203	GSM1530723		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140163	GEO	sra	SRX739111	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3150	2193	ILLUMINA	2014-11-04	SRR1619535	SRS726876	SRP049203	GSM1530724		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140164	GEO	sra	SRX739112	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3174	2216	ILLUMINA	2014-11-04	SRR1619536	SRS726877	SRP049203	GSM1530725		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB18810	SAMEA44470918	LACTAD Unicamp	sra	ERX1842518	500	Illumina HiSeq 2500	PAIRED	RT-PCR	Neutrophils untreated from Healthy control 1_p	2017-03-16	2913	1276	ILLUMINA	2017-03-16	ERR1777658	ERS1497409	ERP020771	E-MTAB-5316:Neutrophils untreated from Healthy control 1		mature neutrophil	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB18810	SAMEA44471668	LACTAD Unicamp	sra	ERX1842519	500	Illumina HiSeq 2500	PAIRED	RT-PCR	Neutrophils untreated from Healthy control 2_p	2017-03-16	3048	1341	ILLUMINA	2017-03-16	ERR1777659	ERS1497410	ERP020771	E-MTAB-5316:Neutrophils untreated from Healthy control 2		mature neutrophil	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB18810	SAMEA44472418	LACTAD Unicamp	sra	ERX1842520	500	Illumina HiSeq 2500	PAIRED	RT-PCR	Neutrophils untreated from Healthy control 3_p	2017-03-16	2505	1104	ILLUMINA	2017-03-16	ERR1777660	ERS1497411	ERP020771	E-MTAB-5316:Neutrophils untreated from Healthy control 3		mature neutrophil	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104345985	University of Catania	sra	ERX2223741	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 1_p	2017-12-09	3738	1634	ILLUMINA	2017-12-03	ERR2167299	ERS1970963	ERP104698	E-MTAB-6107:Sample 1	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104345996	University of Catania	sra	ERX2223752	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 2_p	2017-12-09	4416	1883	ILLUMINA	2017-12-03	ERR2167310	ERS1970974	ERP104698	E-MTAB-6107:Sample 2	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104345998	University of Catania	sra	ERX2223754	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 3_p	2017-12-09	3954	1708	ILLUMINA	2017-12-03	ERR2167312	ERS1970976	ERP104698	E-MTAB-6107:Sample 3	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104345999	University of Catania	sra	ERX2223755	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 4_p	2017-12-09	4229	1886	ILLUMINA	2017-12-03	ERR2167313	ERS1970977	ERP104698	E-MTAB-6107:Sample 4	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104346000	University of Catania	sra	ERX2223756	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 5_p	2017-12-09	3646	1588	ILLUMINA	2017-12-03	ERR2167314	ERS1970978	ERP104698	E-MTAB-6107:Sample 5	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104346001	University of Catania	sra	ERX2223757	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 6_p	2017-12-09	4228	1838	ILLUMINA	2017-12-03	ERR2167315	ERS1970979	ERP104698	E-MTAB-6107:Sample 6	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104346002	University of Catania	sra	ERX2223758	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 7_p	2017-12-09	4363	1864	ILLUMINA	2017-12-03	ERR2167316	ERS1970980	ERP104698	E-MTAB-6107:Sample 7	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104346003	University of Catania	sra	ERX2223759	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 8_p	2017-12-09	3770	1598	ILLUMINA	2017-12-03	ERR2167317	ERS1970981	ERP104698	E-MTAB-6107:Sample 8	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB22968	SAMEA104346004	University of Catania	sra	ERX2223760	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 9_p	2017-12-09	3438	1465	ILLUMINA	2017-12-03	ERR2167318	ERS1970982	ERP104698	E-MTAB-6107:Sample 9	29.5 to 35.5	mononuclear cell	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356690	LabMedMolGE	sra	ERX2235381	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 1_p	2018-03-13	6916	3139	ILLUMINA	2018-03-13	ERR2179070	ERS1981668	ERP104860	E-MTAB-6148:Sample 1	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356691	LabMedMolGE	sra	ERX2235382	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 2_p	2018-03-13	8256	3748	ILLUMINA	2018-03-13	ERR2179071	ERS1981669	ERP104860	E-MTAB-6148:Sample 2	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356692	LabMedMolGE	sra	ERX2235383	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 3_p	2018-03-13	4768	2096	ILLUMINA	2018-03-13	ERR2179072	ERS1981670	ERP104860	E-MTAB-6148:Sample 3	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356693	LabMedMolGE	sra	ERX2235384	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 4_p	2018-03-13	6575	2995	ILLUMINA	2018-03-13	ERR2179073	ERS1981671	ERP104860	E-MTAB-6148:Sample 4	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356694	LabMedMolGE	sra	ERX2235385	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 5_p	2018-03-13	8747	3982	ILLUMINA	2018-03-13	ERR2179074	ERS1981672	ERP104860	E-MTAB-6148:Sample 5	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356695	LabMedMolGE	sra	ERX2235386	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 6_p	2018-03-13	8685	3959	ILLUMINA	2018-03-13	ERR2179075	ERS1981673	ERP104860	E-MTAB-6148:Sample 6	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356696	LabMedMolGE	sra	ERX2235387	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 7_p	2018-03-13	8217	3884	ILLUMINA	2018-03-13	ERR2179076	ERS1981674	ERP104860	E-MTAB-6148:Sample 7	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356697	LabMedMolGE	sra	ERX2235388	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 8_p	2018-03-13	6193	2912	ILLUMINA	2018-03-13	ERR2179077	ERS1981675	ERP104860	E-MTAB-6148:Sample 8	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJEB23127	SAMEA104356698	LabMedMolGE	sra	ERX2235389	100	Illumina HiSeq 2500	PAIRED	RANDOM	Sample 9_p	2018-03-13	13590	6407	ILLUMINA	2018-03-13	ERR2179078	ERS1981676	ERP104860	E-MTAB-6148:Sample 9	37 to 43	platelet	normal			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140161	GEO	sra	SRX739115	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3313	2382	ILLUMINA	2014-11-04	SRR1619539	SRS726880	SRP049203	GSM1530728		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140168	GEO	sra	SRX739116	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3196	2300	ILLUMINA	2014-11-04	SRR1619540	SRS726881	SRP049203	GSM1530729		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140160	GEO	sra	SRX739117	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	3065	2152	ILLUMINA	2014-11-04	SRR1619541	SRS726882	SRP049203	GSM1530730		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA264625	SAMN03140166	GEO	sra	SRX739118	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-10-23	2971	2077	ILLUMINA	2014-11-04	SRR1619542	SRS726883	SRP049203	GSM1530731		iPS cell-derived neuronal samples	Healthy	iPS cell-derived neuronal samples		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160342	GEO	sra	SRX750240	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2131	1535	ILLUMINA	2014-12-30	SRR1639068	SRS735995	SRP049475	GSM1536664	Undifferentiated hESC		Healthy	NKX2.1 GFP/W-hESC		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160334	GEO	sra	SRX750241	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2526	1800	ILLUMINA	2014-12-30	SRR1639069	SRS735996	SRP049475	GSM1536665	Differentiated day 12 neuron progenitors		Healthy	NKX2.1 GFP/W-hESC-derived progenitors		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160338	GEO	sra	SRX750242	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2506	1709	ILLUMINA	2014-12-30	SRR1639070	SRS735997	SRP049475	GSM1536666	Differentiated day 12 neuron progenitors		Healthy	NKX2.1 GFP/W-hESC-derived progenitors		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160343	GEO	sra	SRX750243	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	3157	2123	ILLUMINA	2014-12-30	SRR1639071	SRS735998	SRP049475	GSM1536667	Differentiated day 12 neuron progenitors		Healthy	NKX2.1 GFP/W-hESC-derived progenitors		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160340	GEO	sra	SRX750244	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2742	1848	ILLUMINA	2014-12-30	SRR1639072	SRS735999	SRP049475	GSM1536668	~ Differentiation day 25		Healthy	NKX2.1 GFP/W-hESC-derived neurons		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160341	GEO	sra	SRX750245	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2826	1900	ILLUMINA	2014-12-30	SRR1639073	SRS736000	SRP049475	GSM1536669	~ Differentiation day 27		Healthy	NKX2.1 GFP/W-hESC-derived neurons		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160336	GEO	sra	SRX750246	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2934	1966	ILLUMINA	2014-12-30	SRR1639074	SRS736001	SRP049475	GSM1536670	~ Differentiation day 27		Healthy	NKX2.1 GFP/W-hESC-derived neurons		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160333	GEO	sra	SRX750247	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	3243	2186	ILLUMINA	2014-12-30	SRR1639075	SRS736002	SRP049475	GSM1536671	~ Differentiation day 82		Healthy	NKX2.1 GFP/W-hESC-derived neurons		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160344	GEO	sra	SRX750248	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	2800	1871	ILLUMINA	2014-12-30	SRR1639076	SRS736003	SRP049475	GSM1536672	~ Differentiation day 45		Healthy	iPSC-derived neuron sample		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA266234	SAMN03160331	GEO	sra	SRX750249	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-03	3076	2055	ILLUMINA	2014-12-30	SRR1639077	SRS736004	SRP049475	GSM1536673	~ Differentiation day 45		Healthy	iPSC-derived neuron sample		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
miRNA-Seq		49	PRJEB13591	SAMEA3932397	submitter	sra	ERX1432886	0	Illumina HiSeq 2500	SINGLE	cDNA	1072N0009	2016-12-02	385	311	ILLUMINA	2016-12-02	ERR1361616	ERS1119531	ERP015151	E-MTAB-4637:1072N0009			healthy			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
miRNA-Seq		49	PRJEB13591	SAMEA3932398	submitter	sra	ERX1432887	0	Illumina HiSeq 2500	SINGLE	cDNA	1072N0010	2016-12-02	398	298	ILLUMINA	2016-12-02	ERR1361617	ERS1119532	ERP015151	E-MTAB-4637:1072N0010			healthy			public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	100	PRJNA361408	SAMN06233284		sra	SRX2494129	0	Illumina HiSeq 4000	SINGLE	RANDOM	CTRL_R2	2017-01-15	4714	1109	ILLUMINA	2017-01-17	SRR5177946	SRS1923343	SRP096788	CTRL_E100E_R2	not applicable		Healthy		Motor Neurons	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	100	PRJNA361408	SAMN06233283		sra	SRX2494130	0	Illumina HiSeq 4000	SINGLE	RANDOM	CTRL_R1	2017-01-15	5531	1304	ILLUMINA	2017-01-17	SRR5177947	SRS1923344	SRP096788	CTRL_E100E_R1	not applicable		Healthy		Motor Neurons	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702772	GEO	sra	SRX3217220	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1150	763	ILLUMINA	2018-01-08	SRR6077565	SRS2542137	SRP118909	GSM2793987		Monocyte	healthy	Control monocyte sample from peripheral blood of healthy volunteer	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702770	GEO	sra	SRX3217222	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1191	787	ILLUMINA	2018-01-08	SRR6077567	SRS2542139	SRP118909	GSM2793989		Monocyte	healthy	Control monocyte cultured in media (RPMI) with 10ng/mL LPS for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702769	GEO	sra	SRX3217223	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1127	745	ILLUMINA	2018-01-08	SRR6077568	SRS2542140	SRP118909	GSM2793990		Monocyte	healthy	Control monocyte sample from peripheral blood of healthy volunteer	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702768	GEO	sra	SRX3217224	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1159	768	ILLUMINA	2018-01-08	SRR6077569	SRS2542141	SRP118909	GSM2793991		Monocyte	healthy	Control monocyte cultured in media (RPMI) for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
