Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	flow_cell_id	group	libraryid	phase	source_name	stim	tissue	DATASTORE_provider
RNA-Seq		152	PRJEB1587	SAMEA2056874	Centro Nacional de Análisis Genómico	public	sra	ERX211584	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	635-1	2016-05-01	11100	7601	Homo sapiens	ILLUMINA	2016-05-01	ERR237031	ERS221230	ERP002323	E-SYBR-3:635-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056745	Centro Nacional de Análisis Genómico	public	sra	ERX211571	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	635-2	2016-05-01	7786	5260	Homo sapiens	ILLUMINA	2016-05-01	ERR237033	ERS221217	ERP002323	E-SYBR-3:635-2									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056595	Centro Nacional de Análisis Genómico	public	sra	ERX211553	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	395-1	2016-05-01	11688	8003	Homo sapiens	ILLUMINA	2016-05-01	ERR237038	ERS221199	ERP002323	E-SYBR-3:395-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056733	Centro Nacional de Análisis Genómico	public	sra	ERX211559	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	104-1	2016-05-01	7859	5308	Homo sapiens	ILLUMINA	2016-05-01	ERR237043	ERS221205	ERP002323	E-SYBR-3:104-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056876	Centro Nacional de Análisis Genómico	public	sra	ERX211586	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	635-3	2016-05-01	9851	6644	Homo sapiens	ILLUMINA	2016-05-01	ERR237047	ERS221232	ERP002323	E-SYBR-3:635-3									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056592	Centro Nacional de Análisis Genómico	public	sra	ERX211550	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	104-2	2016-05-01	11439	7674	Homo sapiens	ILLUMINA	2016-05-01	ERR237050	ERS221196	ERP002323	E-SYBR-3:104-2									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056879	Centro Nacional de Análisis Genómico	public	sra	ERX211589	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	76-1	2016-05-01	10992	7791	Homo sapiens	ILLUMINA	2016-05-01	ERR237051	ERS221235	ERP002323	E-SYBR-3:76-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056596	Centro Nacional de Análisis Genómico	public	sra	ERX211554	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	449-1	2016-05-01	10822	7725	Homo sapiens	ILLUMINA	2016-05-01	ERR237053	ERS221200	ERP002323	E-SYBR-3:449-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA1968660	Centro Nacional de Análisis Genómico	public	sra	ERX211549	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	104-3	2016-05-01	10661	7201	Homo sapiens	ILLUMINA	2016-05-01	ERR237054	ERS221195	ERP002323	E-SYBR-3:104-3									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056880	Centro Nacional de Análisis Genómico	public	sra	ERX211590	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	603-1	2016-05-01	8242	5566	Homo sapiens	ILLUMINA	2016-05-01	ERR237055	ERS221236	ERP002323	E-SYBR-3:603-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA1966938	Centro Nacional de Análisis Genómico	public	sra	ERX211576	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	395-2	2016-05-01	12423	8213	Homo sapiens	ILLUMINA	2016-05-01	ERR237056	ERS221222	ERP002323	E-SYBR-3:395-2									ncbi
RNA-Seq		111	PRJNA229960	SAMN02422536	GEO	public	sra	SRX383986	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	2031	1060	Homo sapiens	ILLUMINA	2014-08-28	SRR1038580	SRS507955	SRP033335	GSM1275173	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		111	PRJNA229960	SAMN02422534	GEO	public	sra	SRX383987	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	1870	1010	Homo sapiens	ILLUMINA	2014-08-28	SRR1038581	SRS507956	SRP033335	GSM1275174	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		111	PRJNA229960	SAMN02422531	GEO	public	sra	SRX383988	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	2531	1331	Homo sapiens	ILLUMINA	2014-08-28	SRR1038582	SRS507958	SRP033335	GSM1275175	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		111	PRJNA229960	SAMN02422533	GEO	public	sra	SRX383989	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	2067	1100	Homo sapiens	ILLUMINA	2014-08-28	SRR1038583	SRS507957	SRP033335	GSM1275176	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		111	PRJNA229960	SAMN02422535	GEO	public	sra	SRX383990	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	2130	1141	Homo sapiens	ILLUMINA	2014-08-28	SRR1038584	SRS507959	SRP033335	GSM1275177	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		111	PRJNA229960	SAMN02422532	GEO	public	sra	SRX383991	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC		2013-11-26	3073	1475	Homo sapiens	ILLUMINA	2014-08-28	SRR1038585	SRS507960	SRP033335	GSM1275178	B CD19 Lymphocytes					B CD19 Lymphocytes			ncbi
RNA-Seq		126	PRJNA229998	SAMN02422669	GEO	public	sra	SRX384345	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	2756	1588	Homo sapiens	ILLUMINA	2014-01-02	SRR1039508	SRS508568	SRP033351	GSM1275862	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422675	GEO	public	sra	SRX384346	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	2542	1480	Homo sapiens	ILLUMINA	2014-01-02	SRR1039509	SRS508567	SRP033351	GSM1275863	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422668	GEO	public	sra	SRX384347	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	2746	1593	Homo sapiens	ILLUMINA	2014-01-02	SRR1039510	SRS508570	SRP033351	GSM1275864	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422667	GEO	public	sra	SRX384348	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	2636	1519	Homo sapiens	ILLUMINA	2014-01-02	SRR1039511	SRS508569	SRP033351	GSM1275865	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422678	GEO	public	sra	SRX384349	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3380	2055	Homo sapiens	ILLUMINA	2014-01-02	SRR1039512	SRS508571	SRP033351	GSM1275866	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		87	PRJNA229998	SAMN02422670	GEO	public	sra	SRX384350	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3615	2271	Homo sapiens	ILLUMINA	2014-01-02	SRR1039513	SRS508572	SRP033351	GSM1275867	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422681	GEO	public	sra	SRX384351	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	4809	3101	Homo sapiens	ILLUMINA	2014-01-02	SRR1039514	SRS508574	SRP033351	GSM1275868	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		114	PRJNA229998	SAMN02422671	GEO	public	sra	SRX384352	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3219	1900	Homo sapiens	ILLUMINA	2014-01-02	SRR1039515	SRS508573	SRP033351	GSM1275869	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		120	PRJNA229998	SAMN02422682	GEO	public	sra	SRX384353	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3445	2147	Homo sapiens	ILLUMINA	2014-01-02	SRR1039516	SRS508575	SRP033351	GSM1275870	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422673	GEO	public	sra	SRX384354	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	4121	2654	Homo sapiens	ILLUMINA	2014-01-02	SRR1039517	SRS508576	SRP033351	GSM1275871	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422679	GEO	public	sra	SRX384355	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3657	2354	Homo sapiens	ILLUMINA	2014-01-02	SRR1039518	SRS508578	SRP033351	GSM1275872	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		107	PRJNA229998	SAMN02422672	GEO	public	sra	SRX384356	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3223	2006	Homo sapiens	ILLUMINA	2014-01-02	SRR1039519	SRS508577	SRP033351	GSM1275873	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		101	PRJNA229998	SAMN02422683	GEO	public	sra	SRX384357	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3355	2109	Homo sapiens	ILLUMINA	2014-01-02	SRR1039520	SRS508579	SRP033351	GSM1275874	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		98	PRJNA229998	SAMN02422677	GEO	public	sra	SRX384358	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3883	2449	Homo sapiens	ILLUMINA	2014-01-02	SRR1039521	SRS508580	SRP033351	GSM1275875	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		125	PRJNA229998	SAMN02422680	GEO	public	sra	SRX384359	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3397	2006	Homo sapiens	ILLUMINA	2014-01-02	SRR1039522	SRS508582	SRP033351	GSM1275876	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		126	PRJNA229998	SAMN02422674	GEO	public	sra	SRX384360	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC		2013-11-26	3737	2269	Homo sapiens	ILLUMINA	2014-01-02	SRR1039523	SRS508581	SRP033351	GSM1275877	airway smooth muscle cells					airway smooth muscle cells		human airway smooth muscle cells	ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	74	42	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176087	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	83	51	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176088	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	84	51	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176089	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	71	40	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176090	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	74	41	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176091	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	76	44	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176092	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	57	34	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176093	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	79	46	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176094	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	73	44	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176095	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	87	52	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176096	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664605	GEO	public	sra	SRX475809	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	82	48	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176097	SRS561553	SRP038917	GSM1334160	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	72	41	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176098	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	81	50	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176099	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	82	50	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176100	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	70	40	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176101	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	73	41	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176102	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	75	43	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176103	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	55	33	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176104	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	75	44	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176105	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	71	42	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176106	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	85	50	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176107	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664611	GEO	public	sra	SRX475810	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	80	47	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176108	SRS561554	SRP038917	GSM1334161	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	80	47	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176109	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	90	56	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176110	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	89	55	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176111	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	78	45	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176112	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	80	46	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176113	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	81	48	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176114	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	60	36	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176115	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	84	50	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176116	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	80	49	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176117	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	94	56	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176118	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664608	GEO	public	sra	SRX475811	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	89	53	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176119	SRS561555	SRP038917	GSM1334162	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664609	GEO	public	sra	SRX475812	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	70	41	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176120	SRS561556	SRP038917	GSM1334163	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664609	GEO	public	sra	SRX475812	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	79	49	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176121	SRS561556	SRP038917	GSM1334163	CCR4- T cells					Blood PBMCs			ncbi
RNA-Seq		35	PRJNA239319	SAMN02664609	GEO	public	sra	SRX475812	0	AB 5500 Genetic Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC		2014-02-25	78	48	Homo sapiens	ABI_SOLID	2014-07-06	SRR1176122	SRS561556	SRP038917	GSM1334163	CCR4- T cells					Blood PBMCs			ncbi
