Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	drug	library_construction	source_name	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		45	PRJNA318513	SAMN04856860	GEO	sra	SRX1705391	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	74	54	ILLUMINA	2016-05-02	SRR3384228	SRS1397647	SRP073318	GSM2123968			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856861	GEO	sra	SRX1705392	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	120	86	ILLUMINA	2016-05-02	SRR3384229	SRS1397646	SRP073318	GSM2123969			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856862	GEO	sra	SRX1705393	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	151	109	ILLUMINA	2016-05-02	SRR3384230	SRS1397645	SRP073318	GSM2123970			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856863	GEO	sra	SRX1705394	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	111	80	ILLUMINA	2016-05-02	SRR3384231	SRS1397644	SRP073318	GSM2123971			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856864	GEO	sra	SRX1705395	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	131	96	ILLUMINA	2016-05-02	SRR3384232	SRS1397643	SRP073318	GSM2123972			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856865	GEO	sra	SRX1705396	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	155	113	ILLUMINA	2016-05-02	SRR3384233	SRS1397642	SRP073318	GSM2123973			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856866	GEO	sra	SRX1705397	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	113	83	ILLUMINA	2016-05-02	SRR3384234	SRS1397641	SRP073318	GSM2123974			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856867	GEO	sra	SRX1705398	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	157	115	ILLUMINA	2016-05-02	SRR3384235	SRS1397640	SRP073318	GSM2123975			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856868	GEO	sra	SRX1705399	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	135	98	ILLUMINA	2016-05-02	SRR3384236	SRS1397639	SRP073318	GSM2123976			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856845	GEO	sra	SRX1705400	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	138	99	ILLUMINA	2016-05-02	SRR3384237	SRS1397638	SRP073318	GSM2123977			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856846	GEO	sra	SRX1705401	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	176	126	ILLUMINA	2016-05-02	SRR3384238	SRS1397637	SRP073318	GSM2123978			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856847	GEO	sra	SRX1705402	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	106	76	ILLUMINA	2016-05-02	SRR3384239	SRS1397636	SRP073318	GSM2123979			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856848	GEO	sra	SRX1705403	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	113	83	ILLUMINA	2016-05-02	SRR3384240	SRS1397635	SRP073318	GSM2123980			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856849	GEO	sra	SRX1705404	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	137	99	ILLUMINA	2016-05-02	SRR3384241	SRS1397634	SRP073318	GSM2123981			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856850	GEO	sra	SRX1705405	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	88	65	ILLUMINA	2016-05-02	SRR3384242	SRS1397633	SRP073318	GSM2123982			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856851	GEO	sra	SRX1705406	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	147	107	ILLUMINA	2016-05-02	SRR3384243	SRS1397630	SRP073318	GSM2123983			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	43	PRJNA320318	SAMN04932458	GEO	sra	SRX1738780	0	AB SOLiD System 3.0	SINGLE	cDNA		2018-04-03	1833	792	ABI_SOLID	2018-04-03	SRR3471368	SRS1418973	SRP074257	GSM2140851			Cell culture	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA360886	SAMN06217950		contigssra	SRX2485263	0	Illumina HiSeq 2500	SINGLE	size fractionation	BT20_C	2017-01-11	1321	439	ILLUMINA	2017-06-05	SRR5168434	SRS1915494	SRP096584	BT-20				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA360886	SAMN06217950		contigssra	SRX2485264	0	Illumina HiSeq 2500	SINGLE	size fractionation	BT20_B	2017-01-11	1168	391	ILLUMINA	2017-06-05	SRR5168435	SRS1915494	SRP096584	BT-20				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA360886	SAMN06217950		sra	SRX2485265	0	Illumina HiSeq 2500	SINGLE	size fractionation	BT20_A	2017-01-11	1506	503	ILLUMINA	2017-06-05	SRR5168436	SRS1915494	SRP096584	BT-20				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690652	GEO	sra	SRX2713555	0	NextSeq 500	SINGLE	cDNA		2017-04-06	208	109	ILLUMINA	2017-04-13	SRR5422051	SRS2104766	SRP103204	GSM2564967	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690651	GEO	sra	SRX2713556	0	NextSeq 500	SINGLE	cDNA		2017-04-06	142	75	ILLUMINA	2017-04-13	SRR5422052	SRS2104767	SRP103204	GSM2564968	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690650	GEO	sra	SRX2713557	0	NextSeq 500	SINGLE	cDNA		2017-04-06	147	77	ILLUMINA	2017-04-13	SRR5422053	SRS2104768	SRP103204	GSM2564969	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690649	GEO	sra	SRX2713558	0	NextSeq 500	SINGLE	cDNA		2017-04-06	185	97	ILLUMINA	2017-04-13	SRR5422054	SRS2104769	SRP103204	GSM2564970	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690648	GEO	sra	SRX2713559	0	NextSeq 500	SINGLE	cDNA		2017-04-06	217	114	ILLUMINA	2017-04-13	SRR5422055	SRS2104770	SRP103204	GSM2564971	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690647	GEO	sra	SRX2713560	0	NextSeq 500	SINGLE	cDNA		2017-04-06	193	101	ILLUMINA	2017-04-13	SRR5422056	SRS2104771	SRP103204	GSM2564972	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690646	GEO	sra	SRX2713561	0	NextSeq 500	SINGLE	cDNA		2017-04-06	178	93	ILLUMINA	2017-04-13	SRR5422057	SRS2104772	SRP103204	GSM2564973	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690645	GEO	sra	SRX2713562	0	NextSeq 500	SINGLE	cDNA		2017-04-06	145	76	ILLUMINA	2017-04-13	SRR5422058	SRS2104773	SRP103204	GSM2564974	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690644	GEO	sra	SRX2713563	0	NextSeq 500	SINGLE	cDNA		2017-04-06	191	100	ILLUMINA	2017-04-13	SRR5422059	SRS2104774	SRP103204	GSM2564975	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690643	GEO	sra	SRX2713564	0	NextSeq 500	SINGLE	cDNA		2017-04-06	159	83	ILLUMINA	2017-04-13	SRR5422060	SRS2104775	SRP103204	GSM2564976	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690642	GEO	sra	SRX2713565	0	NextSeq 500	SINGLE	cDNA		2017-04-06	153	80	ILLUMINA	2017-04-13	SRR5422061	SRS2104776	SRP103204	GSM2564977	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690641	GEO	sra	SRX2713566	0	NextSeq 500	SINGLE	cDNA		2017-04-06	184	97	ILLUMINA	2017-04-13	SRR5422062	SRS2104777	SRP103204	GSM2564978	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690638	GEO	sra	SRX2713567	0	NextSeq 500	SINGLE	cDNA		2017-04-06	154	81	ILLUMINA	2017-04-13	SRR5422063	SRS2104778	SRP103204	GSM2564979	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690640	GEO	sra	SRX2713568	0	NextSeq 500	SINGLE	cDNA		2017-04-06	200	105	ILLUMINA	2017-04-13	SRR5422064	SRS2104779	SRP103204	GSM2564980	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690639	GEO	sra	SRX2713569	0	NextSeq 500	SINGLE	cDNA		2017-04-06	208	109	ILLUMINA	2017-04-13	SRR5422065	SRS2104780	SRP103204	GSM2564981	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690635	GEO	sra	SRX2713570	0	NextSeq 500	SINGLE	cDNA		2017-04-06	206	108	ILLUMINA	2017-04-13	SRR5422066	SRS2104781	SRP103204	GSM2564982	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690634	GEO	sra	SRX2713571	0	NextSeq 500	SINGLE	cDNA		2017-04-06	202	106	ILLUMINA	2017-04-13	SRR5422067	SRS2104782	SRP103204	GSM2564983	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690633	GEO	sra	SRX2713572	0	NextSeq 500	SINGLE	cDNA		2017-04-06	164	86	ILLUMINA	2017-04-13	SRR5422068	SRS2104783	SRP103204	GSM2564984	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690632	GEO	sra	SRX2713573	0	NextSeq 500	SINGLE	cDNA		2017-04-06	184	97	ILLUMINA	2017-04-13	SRR5422069	SRS2104784	SRP103204	GSM2564985	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690637	GEO	sra	SRX2713574	0	NextSeq 500	SINGLE	cDNA		2017-04-06	216	113	ILLUMINA	2017-04-13	SRR5422070	SRS2104785	SRP103204	GSM2564986	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690636	GEO	sra	SRX2713575	0	NextSeq 500	SINGLE	cDNA		2017-04-06	210	110	ILLUMINA	2017-04-13	SRR5422071	SRS2104786	SRP103204	GSM2564987	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690471	GEO	sra	SRX2713576	0	NextSeq 500	SINGLE	cDNA		2017-04-06	190	100	ILLUMINA	2017-04-13	SRR5422072	SRS2104787	SRP103204	GSM2564988	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690470	GEO	sra	SRX2713577	0	NextSeq 500	SINGLE	cDNA		2017-04-06	195	102	ILLUMINA	2017-04-13	SRR5422073	SRS2104788	SRP103204	GSM2564989	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690469	GEO	sra	SRX2713578	0	NextSeq 500	SINGLE	cDNA		2017-04-06	150	79	ILLUMINA	2017-04-13	SRR5422074	SRS2104789	SRP103204	GSM2564990	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690478	GEO	sra	SRX2713579	0	NextSeq 500	SINGLE	cDNA		2017-04-06	188	98	ILLUMINA	2017-04-13	SRR5422075	SRS2104790	SRP103204	GSM2564991	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690653	GEO	sra	SRX2713580	0	NextSeq 500	SINGLE	cDNA		2017-04-06	148	77	ILLUMINA	2017-04-13	SRR5422076	SRS2104791	SRP103204	GSM2564992	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690472	GEO	sra	SRX2713581	0	NextSeq 500	SINGLE	cDNA		2017-04-06	173	91	ILLUMINA	2017-04-13	SRR5422077	SRS2104792	SRP103204	GSM2564993	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690477	GEO	sra	SRX2713582	0	NextSeq 500	SINGLE	cDNA		2017-04-06	246	129	ILLUMINA	2017-04-13	SRR5422078	SRS2104793	SRP103204	GSM2564994	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690476	GEO	sra	SRX2713583	0	NextSeq 500	SINGLE	cDNA		2017-04-06	189	99	ILLUMINA	2017-04-13	SRR5422079	SRS2104794	SRP103204	GSM2564995	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690475	GEO	sra	SRX2713584	0	NextSeq 500	SINGLE	cDNA		2017-04-06	216	113	ILLUMINA	2017-04-13	SRR5422080	SRS2104795	SRP103204	GSM2564996	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690474	GEO	sra	SRX2713585	0	NextSeq 500	SINGLE	cDNA		2017-04-06	200	105	ILLUMINA	2017-04-13	SRR5422081	SRS2104796	SRP103204	GSM2564997	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690473	GEO	sra	SRX2713586	0	NextSeq 500	SINGLE	cDNA		2017-04-06	191	100	ILLUMINA	2017-04-13	SRR5422082	SRS2104797	SRP103204	GSM2564998	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690480	GEO	sra	SRX2713587	0	NextSeq 500	SINGLE	cDNA		2017-04-06	198	104	ILLUMINA	2017-04-13	SRR5422083	SRS2104798	SRP103204	GSM2564999	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690479	GEO	sra	SRX2713588	0	NextSeq 500	SINGLE	cDNA		2017-04-06	153	80	ILLUMINA	2017-04-13	SRR5422084	SRS2104799	SRP103204	GSM2565000	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690468	GEO	sra	SRX2713589	0	NextSeq 500	SINGLE	cDNA		2017-04-06	177	93	ILLUMINA	2017-04-13	SRR5422085	SRS2104800	SRP103204	GSM2565001	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690467	GEO	sra	SRX2713590	0	NextSeq 500	SINGLE	cDNA		2017-04-06	211	110	ILLUMINA	2017-04-13	SRR5422086	SRS2104801	SRP103204	GSM2565002	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690466	GEO	sra	SRX2713591	0	NextSeq 500	SINGLE	cDNA		2017-04-06	196	103	ILLUMINA	2017-04-13	SRR5422087	SRS2104802	SRP103204	GSM2565003	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690465	GEO	sra	SRX2713592	0	NextSeq 500	SINGLE	cDNA		2017-04-06	209	110	ILLUMINA	2017-04-13	SRR5422088	SRS2104803	SRP103204	GSM2565004	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690464	GEO	sra	SRX2713593	0	NextSeq 500	SINGLE	cDNA		2017-04-06	196	103	ILLUMINA	2017-04-13	SRR5422089	SRS2104804	SRP103204	GSM2565005	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690425	GEO	sra	SRX2713594	0	NextSeq 500	SINGLE	cDNA		2017-04-06	86	45	ILLUMINA	2017-04-13	SRR5422090	SRS2104805	SRP103204	GSM2565006	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690488	GEO	sra	SRX2713595	0	NextSeq 500	SINGLE	cDNA		2017-04-06	213	111	ILLUMINA	2017-04-13	SRR5422091	SRS2104806	SRP103204	GSM2565007	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690487	GEO	sra	SRX2713596	0	NextSeq 500	SINGLE	cDNA		2017-04-06	160	84	ILLUMINA	2017-04-13	SRR5422092	SRS2104807	SRP103204	GSM2565008	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690486	GEO	sra	SRX2713597	0	NextSeq 500	SINGLE	cDNA		2017-04-06	186	98	ILLUMINA	2017-04-13	SRR5422093	SRS2104808	SRP103204	GSM2565009	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690485	GEO	sra	SRX2713598	0	NextSeq 500	SINGLE	cDNA		2017-04-06	221	116	ILLUMINA	2017-04-13	SRR5422094	SRS2104809	SRP103204	GSM2565010	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690484	GEO	sra	SRX2713599	0	NextSeq 500	SINGLE	cDNA		2017-04-06	217	114	ILLUMINA	2017-04-13	SRR5422095	SRS2104810	SRP103204	GSM2565011	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690483	GEO	sra	SRX2713600	0	NextSeq 500	SINGLE	cDNA		2017-04-06	195	102	ILLUMINA	2017-04-13	SRR5422096	SRS2104811	SRP103204	GSM2565012	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690482	GEO	sra	SRX2713601	0	NextSeq 500	SINGLE	cDNA		2017-04-06	205	108	ILLUMINA	2017-04-13	SRR5422097	SRS2104812	SRP103204	GSM2565013	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690481	GEO	sra	SRX2713602	0	NextSeq 500	SINGLE	cDNA		2017-04-06	196	103	ILLUMINA	2017-04-13	SRR5422098	SRS2104813	SRP103204	GSM2565014	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690631	GEO	sra	SRX2713603	0	NextSeq 500	SINGLE	cDNA		2017-04-06	210	110	ILLUMINA	2017-04-13	SRR5422099	SRS2104814	SRP103204	GSM2565015	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690630	GEO	sra	SRX2713604	0	NextSeq 500	SINGLE	cDNA		2017-04-06	144	76	ILLUMINA	2017-04-13	SRR5422100	SRS2104815	SRP103204	GSM2565016	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690629	GEO	sra	SRX2713605	0	NextSeq 500	SINGLE	cDNA		2017-04-06	171	89	ILLUMINA	2017-04-13	SRR5422101	SRS2104817	SRP103204	GSM2565017	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
