Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		36	PRJNA145991	SAMN00709313	GEO	sra	SRX091773	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777195: AML 11	2014-05-31	391	299	ILLUMINA	2017-09-13	SRR330935	SRS257354	SRP007826	GSM777195		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709314	GEO	sra	SRX091774	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777196: APML 12	2014-05-31	403	306	ILLUMINA	2017-09-13	SRR330936	SRS257355	SRP007826	GSM777196		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709315	GEO	sra	SRX091775	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777197: AML 13	2014-05-31	488	353	ILLUMINA	2017-09-13	SRR330937	SRS257356	SRP007826	GSM777197		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709316	GEO	sra	SRX091776	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777198: AML 14	2014-05-31	334	232	ILLUMINA	2017-09-13	SRR330938	SRS257357	SRP007826	GSM777198		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709317	GEO	sra	SRX091777	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777199: AML 15	2014-05-31	433	327	ILLUMINA	2017-09-13	SRR330939	SRS257358	SRP007826	GSM777199		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709318	GEO	sra	SRX091778	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777200: AML 16	2014-05-31	415	316	ILLUMINA	2017-09-13	SRR330940	SRS257359	SRP007826	GSM777200		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709319	GEO	sra	SRX091779	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777201: AML 17 (rep I)	2014-05-31	378	278	ILLUMINA	2017-09-13	SRR330941	SRS257360	SRP007826	GSM777201		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709320	GEO	sra	SRX091780	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777203: AML 18	2014-05-31	337	259	ILLUMINA	2017-09-13	SRR330942	SRS257361	SRP007826	GSM777203				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709321	GEO	sra	SRX091781	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777204: AML 19	2014-05-31	367	277	ILLUMINA	2017-09-13	SRR330943	SRS257362	SRP007826	GSM777204		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709322	GEO	sra	SRX091782	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777205: AML 21	2014-05-31	329	250	ILLUMINA	2017-09-13	SRR330944	SRS257363	SRP007826	GSM777205				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709323	GEO	sra	SRX091783	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777206: AML 22	2014-05-31	539	392	ILLUMINA	2017-09-13	SRR330945	SRS257364	SRP007826	GSM777206		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709324	GEO	sra	SRX091784	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777207: AML 23	2014-05-31	568	406	ILLUMINA	2017-09-13	SRR330946	SRS257365	SRP007826	GSM777207		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709325	GEO	sra	SRX091785	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777208: AML 24	2014-05-31	454	339	ILLUMINA	2017-09-13	SRR330947	SRS257366	SRP007826	GSM777208				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709326	GEO	sra	SRX091786	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777209: AML 25	2014-05-31	535	395	ILLUMINA	2017-09-13	SRR330948	SRS257367	SRP007826	GSM777209		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709327	GEO	sra	SRX091787	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777210: APML 26 (rep II)	2014-05-31	517	364	ILLUMINA	2017-09-13	SRR330949	SRS257368	SRP007826	GSM777210		Peripheral Blood (IBM enriched)	Peripheral Blood (IBM enriched)	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709328	GEO	sra	SRX091788	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777211: AML 27	2014-05-31	585	408	ILLUMINA	2017-09-13	SRR330950	SRS257369	SRP007826	GSM777211		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709330	GEO	sra	SRX091790	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777213: AML 29	2014-05-31	500	375	ILLUMINA	2017-09-13	SRR330952	SRS257371	SRP007826	GSM777213		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709331	GEO	sra	SRX091791	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777214: AML 30	2014-05-31	421	326	ILLUMINA	2017-09-13	SRR330953	SRS257372	SRP007826	GSM777214		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709332	GEO	sra	SRX091792	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777215: AML 31 (rep II)	2014-05-31	450	334	ILLUMINA	2017-09-13	SRR330954	SRS257373	SRP007826	GSM777215		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709333	GEO	sra	SRX091793	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777216: AML 32	2014-05-31	526	392	ILLUMINA	2017-09-13	SRR330955	SRS257374	SRP007826	GSM777216		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709334	GEO	sra	SRX091794	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777217: AML 33	2014-05-31	220	170	ILLUMINA	2017-09-13	SRR330956	SRS257375	SRP007826	GSM777217		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709335	GEO	sra	SRX091795	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777218: AML 36	2014-05-31	497	377	ILLUMINA	2017-09-13	SRR330957	SRS257376	SRP007826	GSM777218		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709336	GEO	sra	SRX091796	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777219: AML 37	2014-05-31	527	378	ILLUMINA	2017-09-13	SRR330958	SRS257377	SRP007826	GSM777219		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709337	GEO	sra	SRX091797	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777220: AML 38	2014-05-31	479	347	ILLUMINA	2017-09-13	SRR330959	SRS257378	SRP007826	GSM777220		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709338	GEO	sra	SRX091798	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777221: AML 39	2014-05-31	489	360	ILLUMINA	2017-09-13	SRR330960	SRS257379	SRP007826	GSM777221		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709339	GEO	sra	SRX091799	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777222: AML 40	2014-05-31	563	410	ILLUMINA	2017-09-13	SRR330961	SRS257380	SRP007826	GSM777222		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
AMPLICON	assembly	1344	PRJNA85103	SAMN00791664	PACBIO	sra	SRX121691	0	PacBio RS	SINGLE	cDNA	1009-003b	2013-07-09	1	1	PACBIO_SMRT	2012-04-19	SRR412827	SRS294778	SRP011010	1009-003b				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
AMPLICON	assembly	1319	PRJNA85103	SAMN00791665	PACBIO	sra	SRX121692	0	PacBio RS	SINGLE	cDNA	1009-003r	2012-05-06	1	1	PACBIO_SMRT	2012-05-06	SRR413267	SRS294779	SRP011010	1009-003r				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		180	PRJNA157037	SAMN00840795	GEO	sra	SRX131954	260	Illumina Genome Analyzer IIx	PAIRED	cDNA	GSM903660: peripheral blood from sample 1, primary tumor	2012-08-11	2970	1750	ILLUMINA	2013-03-28	SRR449360	SRS304711	SRP011977	GSM903660		peripheral blood, primary tumor	peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		180	PRJNA157037	SAMN00840796	GEO	sra	SRX131955	260	Illumina Genome Analyzer IIx	PAIRED	cDNA	GSM903661: peripheral blood from sample 2, remission	2012-08-11	2641	1479	ILLUMINA	2013-03-28	SRR449361	SRS304712	SRP011977	GSM903661		peripheral blood, remission	peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	337	ILLUMINA	2013-12-31	SRR544857	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	341	ILLUMINA	2013-12-31	SRR544858	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	373	232	ILLUMINA	2013-12-31	SRR544859	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	343	ILLUMINA	2013-12-31	SRR544860	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	339	ILLUMINA	2013-12-31	SRR544861	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	339	ILLUMINA	2013-12-31	SRR544862	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	346	ILLUMINA	2013-12-31	SRR544863	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	351	ILLUMINA	2013-12-31	SRR544864	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	360	ILLUMINA	2013-12-31	SRR544865	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	344	ILLUMINA	2013-12-31	SRR544866	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		150	PRJNA173077	SAMN01120802	GEO	sra	SRX179257	0	Illumina HiSeq 2000	PAIRED	cDNA	GSM988217: CG-SH RNA	2012-08-17	572	358	ILLUMINA	2013-12-31	SRR544867	SRS358650	SRP014906	GSM988217		acute myeloid leukemia		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816537	UNIVERSITY OF CHICAGO	sra	SRX205694	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	4544	2316	ILLUMINA	2015-07-22	SRR620034	SRS376459	SRP017262	A36				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816533	UNIVERSITY OF CHICAGO	sra	SRX205688	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2863	1937	ILLUMINA	2015-07-22	SRR620004	SRS376460	SRP017262	A19			peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816536	UNIVERSITY OF CHICAGO	sra	SRX205692	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5606	2867	ILLUMINA	2015-07-22	SRR620031	SRS376461	SRP017262	A35			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816534	UNIVERSITY OF CHICAGO	sra	SRX205690	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2816	1892	ILLUMINA	2015-07-22	SRR620026	SRS376462	SRP017262	A20			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816535	UNIVERSITY OF CHICAGO	sra	SRX205691	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5497	2735	ILLUMINA	2015-07-22	SRR620028	SRS376463	SRP017262	A21			peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA181310	SAMN01816535	UNIVERSITY OF CHICAGO	sra	SRX206920	0	Illumina Genome Analyzer II	SINGLE	RANDOM		2015-11-28	2961	1530	ILLUMINA	2015-07-22	SRR621698	SRS376463	SRP017262	A21			peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816538	UNIVERSITY OF CHICAGO	sra	SRX205695	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	4320	2123	ILLUMINA	2015-07-22	SRR620035	SRS376464	SRP017262	A44			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816539	UNIVERSITY OF CHICAGO	sra	SRX205696	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5123	2606	ILLUMINA	2015-07-22	SRR620037	SRS376465	SRP017262	A53			peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816540	UNIVERSITY OF CHICAGO	sra	SRX205697	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	4888	2541	ILLUMINA	2015-07-22	SRR620040	SRS376466	SRP017262	A56			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816541	UNIVERSITY OF CHICAGO	sra	SRX205698	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5852	3742	ILLUMINA	2015-07-22	SRR620041	SRS376467	SRP017262	A65			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816542	UNIVERSITY OF CHICAGO	sra	SRX205699	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5242	3298	ILLUMINA	2015-07-22	SRR620042	SRS376468	SRP017262	A72			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		72	PRJNA181310	SAMN01816543	UNIVERSITY OF CHICAGO	sra	SRX205700	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	302	183	ILLUMINA	2015-07-22	SRR620043	SRS376469	SRP017262	T01			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		72	PRJNA181310	SAMN01816543	UNIVERSITY OF CHICAGO	sra	SRX205700	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	984	655	ILLUMINA	2015-07-22	SRR620044	SRS376469	SRP017262	T01			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816544	UNIVERSITY OF CHICAGO	sra	SRX205701	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	615	274	ILLUMINA	2015-07-22	SRR620046	SRS376470	SRP017262	T03			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		72	PRJNA181310	SAMN01816544	UNIVERSITY OF CHICAGO	sra	SRX205701	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	821	546	ILLUMINA	2015-07-22	SRR620047	SRS376470	SRP017262	T03			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816544	UNIVERSITY OF CHICAGO	sra	SRX205701	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5688	3267	ILLUMINA	2015-07-22	SRR620049	SRS376470	SRP017262	T03			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816545	UNIVERSITY OF CHICAGO	sra	SRX205703	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	3232	1527	ILLUMINA	2015-07-22	SRR620096	SRS376471	SRP017262	T04			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816545	UNIVERSITY OF CHICAGO	sra	SRX205703	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	5957	3769	ILLUMINA	2015-07-22	SRR620100	SRS376471	SRP017262	T04			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		72	PRJNA181310	SAMN01816545	UNIVERSITY OF CHICAGO	sra	SRX206921	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	214	133	ILLUMINA	2015-07-22	SRR621699	SRS376471	SRP017262	T04			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA181310	SAMN01816546	UNIVERSITY OF CHICAGO	sra	SRX205704	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2760	1677	ILLUMINA	2015-07-22	SRR620125	SRS376472	SRP017262	T05			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		72	PRJNA181310	SAMN01816546	UNIVERSITY OF CHICAGO	sra	SRX206922	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	741	493	ILLUMINA	2015-07-22	SRR621700	SRS376472	SRP017262	T05			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		112	PRJNA181310	SAMN01816547	UNIVERSITY OF CHICAGO	sra	SRX205705	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	1581	1092	ILLUMINA	2015-07-22	SRR620126	SRS376473	SRP017262	T08			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816547	UNIVERSITY OF CHICAGO	sra	SRX205705	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2188	1314	ILLUMINA	2015-07-22	SRR620127	SRS376473	SRP017262	T08			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		112	PRJNA181310	SAMN01816548	UNIVERSITY OF CHICAGO	sra	SRX205706	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	1620	1092	ILLUMINA	2015-07-22	SRR620128	SRS376474	SRP017262	T12			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816548	UNIVERSITY OF CHICAGO	sra	SRX205706	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2558	1683	ILLUMINA	2015-07-22	SRR620129	SRS376474	SRP017262	T12			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		112	PRJNA181310	SAMN01816549	UNIVERSITY OF CHICAGO	sra	SRX205707	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	1786	1151	ILLUMINA	2015-07-22	SRR620132	SRS376475	SRP017262	T16			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816549	UNIVERSITY OF CHICAGO	sra	SRX205707	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2398	1397	ILLUMINA	2015-07-22	SRR620133	SRS376475	SRP017262	T16			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		112	PRJNA181310	SAMN01816550	UNIVERSITY OF CHICAGO	sra	SRX205708	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	1748	1184	ILLUMINA	2015-07-22	SRR620134	SRS376476	SRP017262	T19			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		152	PRJNA181310	SAMN01816550	UNIVERSITY OF CHICAGO	sra	SRX205708	0	Illumina Genome Analyzer II	PAIRED	RANDOM		2015-11-27	2030	1053	ILLUMINA	2015-07-22	SRR620135	SRS376476	SRP017262	T19			bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
